dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
asia,ABAPC (Ours),0.35607266426086426,4,0.25,0.375,0.05,0.5,0.25,0.3333,1.0,0.5,0.6667,0.25,0.25,0.25,7.0,25.0,35.0,0,7816
asia,ABAPC (Ours),0.5746819972991943,4,0.25,0.375,0.05,0.25,0.125,0.1667,1.0,0.5,0.6667,0.0,0.0,0.0,7.0,23.0,38.0,1,3578
asia,ABAPC (Ours),0.3558375835418701,3,0.0,0.375,0.0,0.3333,0.125,0.1818,1.0,0.375,0.5455,0.3333,0.25,0.2857,6.0,20.0,30.0,2,2656
asia,ABAPC (Ours),0.3822946548461914,3,0.6667,0.125,0.1,0.3333,0.125,0.1818,1.0,0.375,0.5455,0.3333,0.25,0.2857,8.0,33.0,36.0,3,2688
asia,ABAPC (Ours),0.4527158737182617,4,0.0,0.5,0.0,0.25,0.125,0.1667,1.0,0.5,0.6667,0.25,0.25,0.25,6.0,16.0,31.0,4,2494
asia,ABAPC (Ours),0.3827502727508545,5,0.2,0.5,0.05,0.6,0.375,0.4615,1.0,0.625,0.7692,0.4,0.5,0.4444,5.0,21.0,28.0,5,183
asia,ABAPC (Ours),0.6746208667755127,4,0.0,0.5,0.0,0.25,0.125,0.1667,1.0,0.5,0.6667,0.25,0.25,0.25,6.0,16.0,31.0,6,7977
asia,ABAPC (Ours),0.4366903305053711,5,0.0,0.625,0.0,0.2,0.125,0.1538,1.0,0.625,0.7692,0.2,0.25,0.2222,6.0,22.0,37.0,7,3199
asia,ABAPC (Ours),0.539376974105835,3,0.0,0.375,0.0,0.3333,0.125,0.1818,1.0,0.375,0.5455,0.3333,0.25,0.2857,6.0,20.0,30.0,8,316
asia,ABAPC (Ours),0.4716005325317383,6,0.1667,0.625,0.05,0.6667,0.5,0.5714,1.0,0.75,0.8571,0.3333,0.5,0.4,4.0,20.0,32.0,9,8266
