dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
survey,ABAPC (Ours),0.6891443729400635,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,1.0,0.8333,0.9091,0.4,0.5,0.4444,5.0,7.0,21.0,0,7816
survey,ABAPC (Ours),0.23606348037719727,3,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,1.0,0.5,0.6667,0.3333,0.25,0.2857,6.0,13.0,19.0,1,3578
survey,ABAPC (Ours),0.12472796440124512,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,1.0,0.8333,0.9091,0.8,0.6667,0.7273,2.0,12.0,12.0,2,2656
survey,ABAPC (Ours),0.16043639183044434,6,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,1.0,1.0,1.0,0.6667,1.0,0.8,2.0,7.0,19.0,3,2688
survey,ABAPC (Ours),0.08975958824157715,4,0.25,0.5,0.1111,0.75,0.5,0.6,1.0,0.6667,0.8,0.75,0.5,0.6,3.0,13.0,13.0,4,2494
survey,ABAPC (Ours),0.31176066398620605,3,0.0,0.5,0.0,1.0,0.5,0.6667,1.0,0.5,0.6667,0.6667,0.5,0.5714,5.0,10.0,24.0,5,183
survey,ABAPC (Ours),0.24076151847839355,4,0.25,0.5,0.1111,0.75,0.5,0.6,1.0,0.6667,0.8,0.75,0.75,0.75,5.0,17.0,18.0,6,7977
survey,ABAPC (Ours),0.27241945266723633,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,1.0,0.8333,0.9091,0.8,1.0,0.8889,4.0,16.0,17.0,7,3199
survey,ABAPC (Ours),0.27296018600463867,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,1.0,0.6667,0.8,0.5,0.5,0.5,5.0,18.0,19.0,8,316
survey,ABAPC (Ours),0.26511096954345703,4,0.25,0.5,0.1111,0.75,0.5,0.6,1.0,0.6667,0.8,0.75,0.75,0.75,5.0,17.0,18.0,9,8266
