dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
asia,ABAPC (Ours),0.41814589500427246,5,0.8,0.125,0.2,0.2,0.125,0.1538,1.0,0.625,0.7692,0.2,0.125,0.1538,7.0,42.0,0,7816
asia,ABAPC (Ours),0.3844175338745117,4,0.5,0.25,0.1,0.5,0.25,0.3333,1.0,0.5,0.6667,0.5,0.25,0.3333,6.0,30.0,1,3578
asia,ABAPC (Ours),0.7271292209625244,6,0.3333,0.5,0.1,0.6667,0.5,0.5714,0.8333,0.625,0.7143,0.6667,0.5,0.5714,5.0,21.0,2,2656
asia,ABAPC (Ours),0.5188002586364746,4,0.5,0.25,0.1,0.5,0.25,0.3333,1.0,0.5,0.6667,0.5,0.25,0.3333,6.0,31.0,3,2688
asia,ABAPC (Ours),0.4622011184692383,5,0.6,0.25,0.15,0.4,0.25,0.3077,1.0,0.625,0.7692,0.4,0.25,0.3077,6.0,37.0,4,2494
asia,ABAPC (Ours),0.38347840309143066,5,0.2,0.5,0.05,0.8,0.5,0.6154,1.0,0.625,0.7692,0.8,0.5,0.6154,4.0,21.0,5,183
asia,ABAPC (Ours),0.40039777755737305,5,0.4,0.375,0.1,0.6,0.375,0.4615,1.0,0.625,0.7692,0.6,0.375,0.4615,5.0,27.0,6,7977
asia,ABAPC (Ours),0.5043909549713135,5,0.4,0.375,0.1,0.6,0.375,0.4615,1.0,0.625,0.7692,0.6,0.375,0.4615,5.0,29.0,7,3199
asia,ABAPC (Ours),0.4420051574707031,5,0.6,0.25,0.15,0.4,0.25,0.3077,1.0,0.625,0.7692,0.4,0.25,0.3077,6.0,37.0,8,316
asia,ABAPC (Ours),0.502734899520874,6,0.5,0.375,0.15,0.5,0.375,0.4286,0.8333,0.625,0.7143,0.5,0.375,0.4286,6.0,27.0,9,8266
