dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
cancer,ABAPC (Ours),0.2550070285797119,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,1.0,1.0,0.5,1.0,0.6667,1.0,5.0,10.0,0,7816
cancer,ABAPC (Ours),0.07417654991149902,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,1.0,1.0,0.5,1.0,0.6667,1.0,5.0,10.0,1,3578
cancer,ABAPC (Ours),0.0690755844116211,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,1.0,0.75,0.8571,0.3333,0.25,0.2857,3.0,11.0,11.0,2,2656
cancer,ABAPC (Ours),0.07916021347045898,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,5.0,3,2688
cancer,ABAPC (Ours),0.07390975952148438,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,5.0,4,2494
cancer,ABAPC (Ours),0.054936885833740234,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,1.0,0.75,0.8571,0.3333,0.5,0.4,2.0,6.0,11.0,5,183
cancer,ABAPC (Ours),0.13312149047851562,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,5.0,6,7977
cancer,ABAPC (Ours),0.07567667961120605,3,0.6667,0.25,0.3333,0.0,0.0,,1.0,0.75,0.8571,0.0,0.0,0.0,4.0,11.0,16.0,7,3199
cancer,ABAPC (Ours),0.08274650573730469,3,0.6667,0.25,0.3333,0.0,0.0,,1.0,0.75,0.8571,0.0,0.0,0.0,4.0,11.0,16.0,8,316
cancer,ABAPC (Ours),0.07105755805969238,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,1.0,1.0,0.5,1.0,0.6667,1.0,5.0,10.0,9,8266
