dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
sachs,ABAPC (Ours),5.630006313323975,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0,7816
sachs,ABAPC (Ours),5.202730178833008,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,1,3578
sachs,ABAPC (Ours),5.367271423339844,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,2,2656
sachs,ABAPC (Ours),5.2499964237213135,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,3,2688
sachs,ABAPC (Ours),5.0192482471466064,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,4,2494
sachs,ABAPC (Ours),5.016726016998291,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,5,183
sachs,ABAPC (Ours),4.413400173187256,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,6,7977
sachs,ABAPC (Ours),5.078788757324219,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,7,3199
sachs,ABAPC (Ours),5.843082666397095,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,8,316
sachs,ABAPC (Ours),8.133715391159058,18,0.1111,0.9412,0.0526,0.1111,0.1176,0.1143,0.9444,1.0,0.9714,0.0,0.0,0.0,2.0,4.0,61.0,9,8266
