dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
sachs,ABAPC (Ours),5.630006313323975,17,0.1765,0.8235,0.0789,0.8235,0.8235,0.8235,1.0,1.0,1.0,0.8235,0.8235,0.8235,3.0,15.0,0,7816
sachs,ABAPC (Ours),5.202730178833008,17,0.2941,0.7059,0.1316,0.7059,0.7059,0.7059,1.0,1.0,1.0,0.7059,0.7059,0.7059,5.0,24.0,1,3578
sachs,ABAPC (Ours),5.367271423339844,17,0.2353,0.7647,0.1053,0.7647,0.7647,0.7647,1.0,1.0,1.0,0.7647,0.7647,0.7647,4.0,28.0,2,2656
sachs,ABAPC (Ours),5.2499964237213135,17,0.2353,0.7647,0.1053,0.7647,0.7647,0.7647,1.0,1.0,1.0,0.7647,0.7647,0.7647,4.0,20.0,3,2688
sachs,ABAPC (Ours),5.0192482471466064,17,0.1765,0.8235,0.0789,0.8235,0.8235,0.8235,1.0,1.0,1.0,0.8235,0.8235,0.8235,3.0,15.0,4,2494
sachs,ABAPC (Ours),5.016726016998291,17,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5,183
sachs,ABAPC (Ours),4.413400173187256,17,0.1765,0.8235,0.0789,0.8235,0.8235,0.8235,1.0,1.0,1.0,0.8235,0.8235,0.8235,3.0,15.0,6,7977
sachs,ABAPC (Ours),5.078788757324219,17,0.1765,0.8235,0.0789,0.8235,0.8235,0.8235,1.0,1.0,1.0,0.8235,0.8235,0.8235,3.0,15.0,7,3199
sachs,ABAPC (Ours),5.843082666397095,17,0.5294,0.4706,0.2368,0.4706,0.4706,0.4706,1.0,1.0,1.0,0.4706,0.4706,0.4706,9.0,39.0,8,316
sachs,ABAPC (Ours),8.133715391159058,18,0.3889,0.6471,0.1842,0.6111,0.6471,0.6286,0.9444,1.0,0.9714,0.6111,0.6471,0.6286,7.0,29.0,9,8266
