dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
asia,MPC,0.02409219741821289,2,0.0,0.25,0.0,1.0,0.25,0.4,6.0,23.0,0,7816
asia,MPC,0.02089548110961914,2,0.0,0.25,0.0,1.0,0.25,0.4,6.0,23.0,1,3578
asia,MPC,0.026355981826782227,4,0.25,0.375,0.05,0.75,0.375,0.5,6.0,20.0,2,2656
asia,MPC,0.020282745361328125,2,0.0,0.25,0.0,1.0,0.25,0.4,6.0,23.0,3,2688
asia,MPC,0.026448726654052734,2,0.0,0.25,0.0,1.0,0.25,0.4,6.0,23.0,4,2494
asia,MPC,0.01996159553527832,2,0.0,0.25,0.0,1.0,0.25,0.4,6.0,23.0,5,183
asia,MPC,0.021949052810668945,2,0.0,0.25,0.0,1.0,0.25,0.4,6.0,23.0,6,7977
asia,MPC,0.026419401168823242,2,0.0,0.25,0.0,1.0,0.25,0.4,6.0,23.0,7,3199
asia,MPC,0.023099660873413086,2,0.0,0.25,0.0,1.0,0.25,0.4,6.0,23.0,8,316
asia,MPC,0.025959014892578125,2,0.0,0.25,0.0,1.0,0.25,0.4,6.0,23.0,9,8266
