dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
cancer,Random,0.148934,5,0.6,0.5,0.5,0.4,0.5,0.4444,4.0,6.0,0,7816
cancer,Random,0.000262,10,0.8,0.5,1.3333,0.2,0.5,0.2857,8.0,14.0,1,3578
cancer,Random,0.000259,6,1.0,0.0,1.0,0.0,0.0,,9.0,15.0,2,2656
cancer,Random,0.000261,8,0.875,0.25,1.1667,0.125,0.25,0.1667,8.0,10.0,3,2688
cancer,Random,0.000252,9,0.8889,0.25,1.3333,0.1111,0.25,0.1538,8.0,12.0,4,2494
cancer,Random,0.000254,10,0.8,0.5,1.3333,0.2,0.5,0.2857,8.0,15.0,5,183
cancer,Random,0.000268,9,0.6667,0.75,1.0,0.3333,0.75,0.4615,7.0,2.0,6,7977
cancer,Random,0.000256,8,1.0,0.0,1.3333,0.0,0.0,,10.0,11.0,7,3199
cancer,Random,0.000253,10,0.8,0.5,1.3333,0.2,0.5,0.2857,8.0,9.0,8,316
cancer,Random,0.000258,8,0.625,0.75,0.8333,0.375,0.75,0.5,5.0,4.0,9,8266
