dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
earthquake,MPC,0.009577751159667969,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,0,7816
earthquake,MPC,0.009307384490966797,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,1,3578
earthquake,MPC,0.01034998893737793,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0,2,2656
earthquake,MPC,0.010203361511230469,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,19.0,3,2688
earthquake,MPC,0.010461807250976562,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0,4,2494
earthquake,MPC,0.010064125061035156,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,5,183
earthquake,MPC,0.00976109504699707,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,6,7977
earthquake,MPC,0.011186838150024414,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0,7,3199
earthquake,MPC,0.010812520980834961,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,19.0,8,316
earthquake,MPC,0.009675264358520508,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,9,8266
