dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
earthquake,Random,0.000219,5,0.4,0.75,0.3333,0.2,0.25,0.2222,5.0,4.0,18.0,0,7816
earthquake,Random,0.000256,10,0.6,1.0,1.0,0.2,0.5,0.2857,8.0,0.0,18.0,1,3578
earthquake,Random,0.000246,6,0.8333,0.25,0.8333,0.1667,0.25,0.2,8.0,8.0,18.0,2,2656
earthquake,Random,0.000249,8,0.625,0.75,0.8333,0.125,0.25,0.1667,8.0,2.0,16.0,3,2688
earthquake,Random,0.000253,9,0.5556,1.0,0.8333,0.4444,1.0,0.6154,5.0,0.0,5.0,4,2494
earthquake,Random,0.000265,10,0.6,1.0,1.0,0.2,0.5,0.2857,8.0,0.0,18.0,5,183
earthquake,Random,0.000254,9,0.7778,0.5,1.1667,0.1111,0.25,0.1538,9.0,6.0,19.0,6,7977
earthquake,Random,0.000253,8,0.75,0.5,1.0,0.125,0.25,0.1667,9.0,5.0,16.0,7,3199
earthquake,Random,0.000233,10,0.6,1.0,1.0,0.2,0.5,0.2857,8.0,0.0,18.0,8,316
earthquake,Random,0.000272,8,0.5,1.0,0.6667,0.25,0.5,0.3333,6.0,5.0,19.0,9,8266
