dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
sachs,MPC,0.1489269733428955,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,0,7816
sachs,MPC,0.15476703643798828,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,1,3578
sachs,MPC,0.15035724639892578,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,2,2656
sachs,MPC,0.14785385131835938,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,3,2688
sachs,MPC,0.14729690551757812,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,4,2494
sachs,MPC,0.14677667617797852,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,5,183
sachs,MPC,0.13834095001220703,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,6,7977
sachs,MPC,0.14273905754089355,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,7,3199
sachs,MPC,0.15234088897705078,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,0.0,0.0,46.0,8,316
sachs,MPC,0.15111827850341797,18,0.0556,1.0,0.0263,0.1111,0.1176,0.1143,1.0,0.0,46.0,9,8266
