dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
sachs,MPC,0.1489269733428955,0,0.0,0.0,0.0,,0.0,,17.0,53.0,0,7816
sachs,MPC,0.15476703643798828,0,0.0,0.0,0.0,,0.0,,17.0,53.0,1,3578
sachs,MPC,0.15035724639892578,0,0.0,0.0,0.0,,0.0,,17.0,53.0,2,2656
sachs,MPC,0.14785385131835938,0,0.0,0.0,0.0,,0.0,,17.0,53.0,3,2688
sachs,MPC,0.14729690551757812,0,0.0,0.0,0.0,,0.0,,17.0,53.0,4,2494
sachs,MPC,0.14677667617797852,0,0.0,0.0,0.0,,0.0,,17.0,53.0,5,183
sachs,MPC,0.13834095001220703,0,0.0,0.0,0.0,,0.0,,17.0,53.0,6,7977
sachs,MPC,0.14273905754089355,0,0.0,0.0,0.0,,0.0,,17.0,53.0,7,3199
sachs,MPC,0.15234088897705078,0,0.0,0.0,0.0,,0.0,,17.0,53.0,8,316
sachs,MPC,0.15111827850341797,0,0.0,0.0,0.0,,0.0,,17.0,53.0,9,8266
