dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
survey,FGS,0.09735321998596191,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0,0,7816
survey,FGS,0.09441828727722168,2,0.0,0.3333,0.0,1.0,0.3333,0.5,5.0,11.0,24.0,1,3578
survey,FGS,0.09666824340820312,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,14.0,26.0,2,2656
survey,FGS,0.10591435432434082,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,9.0,19.0,25.0,3,2688
survey,FGS,0.09953832626342773,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,7.0,14.0,20.0,4,2494
survey,FGS,0.08931326866149902,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,7.0,14.0,20.0,5,183
survey,FGS,0.08930277824401855,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0,6,7977
survey,FGS,0.09129166603088379,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,9.0,19.0,25.0,7,3199
survey,FGS,0.08634233474731445,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0,8,316
survey,FGS,0.08672332763671875,3,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,7.0,11.0,17.0,9,8266
