dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
asia,FGS,1.3760931491851807,8,0.75,0.25,0.3,0.25,0.25,0.25,0.375,0.375,0.375,0.25,0.25,0.25,11.0,38.0,0,7816
asia,FGS,1.0924043655395508,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,0.2857,0.25,0.2667,0.2857,0.25,0.2667,11.0,40.0,1,3578
asia,FGS,1.0918142795562744,9,0.7778,0.25,0.35,0.2222,0.25,0.2353,0.3333,0.375,0.3529,0.2222,0.25,0.2353,12.0,37.0,2,2656
asia,FGS,1.0680301189422607,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,0.2857,0.25,0.2667,0.2857,0.25,0.2667,11.0,40.0,3,2688
asia,FGS,1.0424704551696777,8,0.75,0.25,0.3,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.25,0.25,10.0,30.0,4,2494
asia,FGS,1.3057572841644287,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,0.2857,0.25,0.2667,0.2857,0.25,0.2667,11.0,40.0,5,183
asia,FGS,1.093153953552246,8,0.75,0.25,0.3,0.25,0.25,0.25,0.375,0.375,0.375,0.25,0.25,0.25,11.0,38.0,6,7977
asia,FGS,1.058234691619873,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,0.2857,0.25,0.2667,0.2857,0.25,0.2667,11.0,40.0,7,3199
asia,FGS,1.0632457733154297,9,0.7778,0.25,0.35,0.2222,0.25,0.2353,0.3333,0.375,0.3529,0.2222,0.25,0.2353,12.0,35.0,8,316
asia,FGS,1.0990447998046875,8,0.75,0.25,0.3,0.25,0.25,0.25,0.375,0.375,0.375,0.25,0.25,0.25,11.0,38.0,9,8266
