dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
asia,MPC,0.019870519638061523,2,0.0,0.25,0.0,1.0,0.25,0.4,1.0,0.25,0.4,1.0,0.25,0.4,6.0,23.0,0,7816
asia,MPC,0.0209808349609375,2,0.0,0.25,0.0,1.0,0.25,0.4,1.0,0.25,0.4,1.0,0.25,0.4,6.0,23.0,1,3578
asia,MPC,0.02005624771118164,2,0.0,0.25,0.0,1.0,0.25,0.4,1.0,0.25,0.4,1.0,0.25,0.4,6.0,23.0,2,2656
asia,MPC,0.02106618881225586,2,0.0,0.25,0.0,1.0,0.25,0.4,1.0,0.25,0.4,1.0,0.25,0.4,6.0,23.0,3,2688
asia,MPC,0.024266719818115234,2,0.0,0.25,0.0,1.0,0.25,0.4,1.0,0.25,0.4,1.0,0.25,0.4,6.0,23.0,4,2494
asia,MPC,0.020956754684448242,2,0.0,0.25,0.0,1.0,0.25,0.4,1.0,0.25,0.4,1.0,0.25,0.4,6.0,23.0,5,183
asia,MPC,0.022210359573364258,2,0.0,0.25,0.0,1.0,0.25,0.4,1.0,0.25,0.4,1.0,0.25,0.4,6.0,23.0,6,7977
asia,MPC,0.023181676864624023,2,0.0,0.25,0.0,1.0,0.25,0.4,1.0,0.25,0.4,1.0,0.25,0.4,6.0,23.0,7,3199
asia,MPC,0.018695354461669922,2,0.0,0.25,0.0,1.0,0.25,0.4,1.0,0.25,0.4,1.0,0.25,0.4,6.0,23.0,8,316
asia,MPC,0.025615692138671875,2,0.0,0.25,0.0,1.0,0.25,0.4,1.0,0.25,0.4,1.0,0.25,0.4,6.0,23.0,9,8266
