dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
asia,Random,0.000209,19,0.8947,0.25,0.85,0.1053,0.25,0.1481,0.2632,0.625,0.3704,0.1053,0.25,0.1481,20.0,31.0,0,7816
asia,Random,0.000223,14,0.9286,0.125,0.65,0.0714,0.125,0.0909,0.2857,0.5,0.3636,0.0714,0.125,0.0909,17.0,29.0,1,3578
asia,Random,0.000239,17,0.8235,0.375,0.7,0.1765,0.375,0.24,0.4118,0.875,0.56,0.1765,0.375,0.24,15.0,27.0,2,2656
asia,Random,0.000251,17,0.7059,0.625,0.6,0.2941,0.625,0.4,0.4118,0.875,0.56,0.2941,0.625,0.4,13.0,25.0,3,2688
asia,Random,0.000236,18,0.8889,0.25,0.8,0.1111,0.25,0.1538,0.2222,0.5,0.3077,0.1111,0.25,0.1538,20.0,36.0,4,2494
asia,Random,0.000232,14,0.8571,0.25,0.6,0.1429,0.25,0.1818,0.3571,0.625,0.4545,0.1429,0.25,0.1818,15.0,37.0,5,183
asia,Random,0.000217,14,0.9286,0.125,0.65,0.0714,0.125,0.0909,0.2143,0.375,0.2727,0.0714,0.125,0.0909,18.0,36.0,6,7977
asia,Random,0.000233,15,0.8667,0.25,0.65,0.1333,0.25,0.1739,0.2,0.375,0.2609,0.1333,0.25,0.1739,18.0,24.0,7,3199
asia,Random,0.000225,8,0.625,0.375,0.25,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,10.0,22.0,8,316
asia,Random,0.000224,15,0.9333,0.125,0.7,0.0667,0.125,0.087,0.3333,0.625,0.4348,0.0667,0.125,0.087,17.0,42.0,9,8266
