dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
cancer,FGS,1.4309601783752441,4,0.5,0.5,0.3333,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,10.0,0,7816
cancer,FGS,1.0056102275848389,4,0.5,0.5,0.3333,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,10.0,1,3578
cancer,FGS,1.0654160976409912,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,1.0,0.75,0.8571,0.3333,0.25,0.2857,3.0,14.0,2,2656
cancer,FGS,1.0471813678741455,4,0.5,0.5,0.3333,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,10.0,3,2688
cancer,FGS,0.9991850852966309,4,0.5,0.5,0.3333,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,10.0,4,2494
cancer,FGS,1.024627447128296,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,1.0,0.75,0.8571,0.3333,0.25,0.2857,3.0,14.0,5,183
cancer,FGS,1.2851717472076416,4,0.5,0.5,0.3333,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,10.0,6,7977
cancer,FGS,1.0285699367523193,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,1.0,0.75,0.8571,0.3333,0.25,0.2857,3.0,14.0,7,3199
cancer,FGS,1.0183346271514893,4,0.5,0.5,0.3333,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,10.0,8,316
cancer,FGS,1.0514874458312988,4,0.5,0.5,0.3333,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,10.0,9,8266
