dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
cancer,MPC,0.008191347122192383,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0,7816
cancer,MPC,0.0067901611328125,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,1,3578
cancer,MPC,0.004666566848754883,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,2,2656
cancer,MPC,0.00564265251159668,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,3,2688
cancer,MPC,0.007912397384643555,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,4,2494
cancer,MPC,0.004692792892456055,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,5,183
cancer,MPC,0.0068628787994384766,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6,7977
cancer,MPC,0.004831790924072266,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,7,3199
cancer,MPC,0.005438327789306641,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,8,316
cancer,MPC,0.008360862731933594,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,9,8266
