dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
cancer,Random,0.000208,6,0.6667,0.5,0.6667,0.1667,0.25,0.2,0.3333,0.5,0.4,0.0,0.0,0.0,8.0,4.0,9.0,0,7816
cancer,Random,0.000219,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,0.6667,0.5,0.5714,0.3333,0.5,0.4,4.0,9.0,14.0,1,3578
cancer,Random,0.000229,4,1.0,0.0,0.6667,0.0,0.0,,0.5,0.5,0.5,0.0,0.0,0.0,6.0,11.0,16.0,2,2656
cancer,Random,0.000243,8,0.5,1.0,0.6667,0.25,0.5,0.3333,0.5,1.0,0.6667,0.0,0.0,0.0,6.0,3.0,19.0,3,2688
cancer,Random,0.000236,4,0.75,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,6.0,8.0,13.0,4,2494
cancer,Random,0.000229,6,0.8333,0.25,0.8333,0.1667,0.25,0.2,0.5,0.75,0.6,0.0,0.0,0.0,6.0,14.0,19.0,5,183
cancer,Random,0.000238,8,0.75,0.5,1.0,0.125,0.25,0.1667,0.375,0.75,0.5,0.0,0.0,0.0,8.0,6.0,19.0,6,7977
cancer,Random,0.000214,6,0.8333,0.25,0.8333,0.1667,0.25,0.2,0.1667,0.25,0.2,0.0,0.0,0.0,9.0,4.0,13.0,7,3199
cancer,Random,0.000225,4,0.5,0.5,0.3333,0.25,0.25,0.25,0.5,0.5,0.5,0.0,0.0,0.0,6.0,5.0,10.0,8,316
cancer,Random,0.000231,6,0.5,0.75,0.5,0.1667,0.25,0.2,0.5,0.75,0.6,0.0,0.0,0.0,7.0,4.0,13.0,9,8266
