dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
child,FGS,1.5363850593566895,43,0.907,0.16,0.2364,0.093,0.16,0.1176,0.1163,0.2,0.1471,0.0698,0.3,0.1132,60.0,276.0,337.0,0,7816
child,FGS,1.2652788162231445,40,0.875,0.2,0.2121,0.1,0.16,0.1231,0.125,0.2,0.1538,0.025,0.1,0.04,56.0,233.0,296.0,1,3578
child,FGS,1.2794349193572998,43,0.8837,0.2,0.2303,0.1163,0.2,0.1471,0.1395,0.24,0.1765,0.0698,0.3,0.1132,58.0,270.0,324.0,2,2656
child,FGS,1.2654738426208496,42,0.8571,0.24,0.2182,0.1429,0.24,0.1791,0.1429,0.24,0.1791,0.0476,0.2,0.0769,58.0,241.0,286.0,3,2688
child,FGS,1.269904375076294,41,0.878,0.2,0.2182,0.0976,0.16,0.1212,0.122,0.2,0.1515,0.0,0.0,0.0,60.0,229.0,284.0,4,2494
child,FGS,1.4841971397399902,41,0.9024,0.16,0.2242,0.0976,0.16,0.1212,0.0976,0.16,0.1212,0.0,0.0,0.0,60.0,213.0,287.0,5,183
child,FGS,1.3083508014678955,45,0.8889,0.2,0.2424,0.0889,0.16,0.1143,0.1778,0.32,0.2286,0.0222,0.1,0.0364,60.0,230.0,286.0,6,7977
child,FGS,1.2785990238189697,41,0.9024,0.16,0.2242,0.0732,0.12,0.0909,0.122,0.2,0.1515,0.0244,0.1,0.0392,59.0,254.0,300.0,7,3199
child,FGS,1.2752084732055664,44,0.8409,0.28,0.2242,0.1364,0.24,0.1739,0.2045,0.36,0.2609,0.0682,0.3,0.1111,55.0,223.0,299.0,8,316
child,FGS,1.3007910251617432,41,0.8293,0.28,0.2061,0.122,0.2,0.1515,0.1707,0.28,0.2121,0.0,0.0,0.0,56.0,213.0,295.0,9,8266
