dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
child,MPC,0.9275543689727783,25,0.0,1.0,0.0,0.64,0.64,0.64,1.0,1.0,1.0,0.2,0.5,0.2857,10.0,0.0,380.0,0,7816
child,MPC,0.8957438468933105,25,0.0,1.0,0.0,0.64,0.64,0.64,1.0,1.0,1.0,0.2,0.5,0.2857,10.0,0.0,380.0,1,3578
child,MPC,0.7372255325317383,24,0.0,0.96,0.0,0.625,0.6,0.6122,1.0,0.96,0.9796,0.2083,0.5,0.2941,11.0,1.0,361.0,2,2656
child,MPC,0.9185910224914551,25,0.0,1.0,0.0,0.64,0.64,0.64,1.0,1.0,1.0,0.2,0.5,0.2857,10.0,0.0,380.0,3,2688
child,MPC,0.9433817863464355,25,0.0,1.0,0.0,0.64,0.64,0.64,1.0,1.0,1.0,0.2,0.5,0.2857,10.0,0.0,380.0,4,2494
child,MPC,0.8675658702850342,24,0.0,0.96,0.0,0.6667,0.64,0.6531,1.0,0.96,0.9796,0.2083,0.5,0.2941,10.0,17.0,380.0,5,183
child,MPC,0.9203848838806152,25,0.0,1.0,0.0,0.64,0.64,0.64,1.0,1.0,1.0,0.2,0.5,0.2857,10.0,0.0,380.0,6,7977
child,MPC,0.7228183746337891,24,0.0,0.96,0.0,0.625,0.6,0.6122,1.0,0.96,0.9796,0.2083,0.5,0.2941,11.0,1.0,361.0,7,3199
child,MPC,0.9231455326080322,25,0.0,1.0,0.0,0.64,0.64,0.64,1.0,1.0,1.0,0.2,0.5,0.2857,10.0,0.0,380.0,8,316
child,MPC,0.9769287109375,25,0.0,1.0,0.0,0.64,0.64,0.64,1.0,1.0,1.0,0.2,0.5,0.2857,10.0,0.0,380.0,9,8266
