dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
child,MPC,0.9275543689727783,22,0.1364,0.76,0.0182,0.8636,0.76,0.8085,1.0,0.88,0.9362,0.8636,0.76,0.8085,6.0,119.0,0,7816
child,MPC,0.8957438468933105,13,0.1538,0.44,0.0121,0.8462,0.44,0.5789,1.0,0.52,0.6842,0.8462,0.44,0.5789,14.0,239.0,1,3578
child,MPC,0.7372255325317383,13,0.1538,0.44,0.0121,0.8462,0.44,0.5789,1.0,0.52,0.6842,0.8462,0.44,0.5789,14.0,237.0,2,2656
child,MPC,0.9185910224914551,23,0.2174,0.72,0.0303,0.7826,0.72,0.75,1.0,0.92,0.9583,0.7826,0.72,0.75,7.0,155.0,3,2688
child,MPC,0.9433817863464355,23,0.087,0.84,0.0121,0.913,0.84,0.875,1.0,0.92,0.9583,0.913,0.84,0.875,4.0,74.0,4,2494
child,MPC,0.8675658702850342,21,0.1429,0.72,0.0182,0.8571,0.72,0.7826,1.0,0.84,0.913,0.8571,0.72,0.7826,7.0,141.0,5,183
child,MPC,0.9203848838806152,21,0.1429,0.72,0.0182,0.8571,0.72,0.7826,1.0,0.84,0.913,0.8571,0.72,0.7826,7.0,140.0,6,7977
child,MPC,0.7228183746337891,13,0.0769,0.48,0.0061,0.9231,0.48,0.6316,1.0,0.52,0.6842,0.9231,0.48,0.6316,13.0,207.0,7,3199
child,MPC,0.9231455326080322,13,0.1538,0.44,0.0121,0.8462,0.44,0.5789,1.0,0.52,0.6842,0.8462,0.44,0.5789,14.0,241.0,8,316
child,MPC,0.9769287109375,23,0.1739,0.76,0.0242,0.8261,0.76,0.7917,1.0,0.92,0.9583,0.8261,0.76,0.7917,6.0,112.0,9,8266
