dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
child,Random,0.000212,109,0.8991,0.44,0.5939,0.1009,0.44,0.1642,0.1376,0.6,0.2239,0.0367,0.4,0.0672,116.0,191.0,211.0,0,7816
child,Random,0.000228,91,0.9011,0.36,0.497,0.0879,0.32,0.1379,0.1538,0.56,0.2414,0.033,0.3,0.0594,99.0,200.0,250.0,1,3578
child,Random,0.000247,96,0.9167,0.32,0.5333,0.0833,0.32,0.1322,0.1146,0.44,0.1818,0.0312,0.3,0.0566,107.0,209.0,224.0,2,2656
child,Random,0.000246,94,0.9149,0.32,0.5212,0.0851,0.32,0.1345,0.1383,0.52,0.2185,0.0213,0.2,0.0385,104.0,170.0,213.0,3,2688
child,Random,0.000233,88,0.9205,0.28,0.4909,0.0795,0.28,0.1239,0.1591,0.56,0.2478,0.0568,0.5,0.102,94.0,238.0,238.0,4,2494
child,Random,0.000252,95,0.9263,0.28,0.5333,0.0737,0.28,0.1167,0.1368,0.52,0.2167,0.0105,0.1,0.019,106.0,209.0,251.0,5,183
child,Random,0.000251,88,0.9432,0.2,0.503,0.0568,0.2,0.0885,0.1136,0.4,0.177,0.0227,0.2,0.0408,101.0,232.0,273.0,6,7977
child,Random,0.000235,88,0.9545,0.16,0.5091,0.0341,0.12,0.0531,0.1136,0.4,0.177,0.0114,0.1,0.0204,102.0,208.0,276.0,7,3199
child,Random,0.000235,101,0.9604,0.16,0.5879,0.0297,0.12,0.0476,0.099,0.4,0.1587,0.0099,0.1,0.018,114.0,197.0,249.0,8,316
child,Random,0.000247,97,0.9691,0.12,0.5697,0.0309,0.12,0.0492,0.0825,0.32,0.1311,0.0206,0.2,0.0374,112.0,264.0,267.0,9,8266
