dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
child,Random,0.000212,109,0.9083,0.4,0.6,0.0917,0.4,0.1493,0.1376,0.6,0.2239,0.0917,0.4,0.1493,109.0,203.0,0,7816
child,Random,0.000228,91,0.9121,0.32,0.503,0.0879,0.32,0.1379,0.1538,0.56,0.2414,0.0879,0.32,0.1379,94.0,240.0,1,3578
child,Random,0.000247,96,0.9167,0.32,0.5333,0.0833,0.32,0.1322,0.1146,0.44,0.1818,0.0833,0.32,0.1322,102.0,217.0,2,2656
child,Random,0.000246,94,0.9149,0.32,0.5212,0.0851,0.32,0.1345,0.1383,0.52,0.2185,0.0851,0.32,0.1345,98.0,170.0,3,2688
child,Random,0.000233,88,0.9205,0.28,0.4909,0.0795,0.28,0.1239,0.1591,0.56,0.2478,0.0795,0.28,0.1239,92.0,238.0,4,2494
child,Random,0.000252,95,0.9263,0.28,0.5333,0.0737,0.28,0.1167,0.1368,0.52,0.2167,0.0737,0.28,0.1167,100.0,230.0,5,183
child,Random,0.000251,88,0.9432,0.2,0.503,0.0568,0.2,0.0885,0.1136,0.4,0.177,0.0568,0.2,0.0885,98.0,251.0,6,7977
child,Random,0.000235,88,0.9659,0.12,0.5152,0.0341,0.12,0.0531,0.1136,0.4,0.177,0.0341,0.12,0.0531,100.0,255.0,7,3199
child,Random,0.000235,101,0.9703,0.12,0.5939,0.0297,0.12,0.0476,0.099,0.4,0.1587,0.0297,0.12,0.0476,113.0,238.0,8,316
child,Random,0.000247,97,0.9691,0.12,0.5697,0.0309,0.12,0.0492,0.0825,0.32,0.1311,0.0309,0.12,0.0492,111.0,264.0,9,8266
