dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
earthquake,FGS,1.3226101398468018,4,0.5,0.5,0.3333,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,10.0,0,7816
earthquake,FGS,1.0475094318389893,5,0.6,0.5,0.5,0.4,0.5,0.4444,0.8,1.0,0.8889,0.4,0.5,0.4444,3.0,10.0,1,3578
earthquake,FGS,1.0332062244415283,6,0.6667,0.5,0.6667,0.3333,0.5,0.4,0.6667,1.0,0.8,0.3333,0.5,0.4,4.0,10.0,2,2656
earthquake,FGS,1.028257131576538,4,0.5,0.5,0.3333,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,10.0,3,2688
earthquake,FGS,1.0266129970550537,5,0.6,0.5,0.5,0.4,0.5,0.4444,0.8,1.0,0.8889,0.4,0.5,0.4444,3.0,10.0,4,2494
earthquake,FGS,1.0484180450439453,5,0.6,0.5,0.5,0.4,0.5,0.4444,0.8,1.0,0.8889,0.4,0.5,0.4444,3.0,10.0,5,183
earthquake,FGS,1.2698795795440674,4,0.5,0.5,0.3333,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,10.0,6,7977
earthquake,FGS,1.023216962814331,5,0.6,0.5,0.5,0.4,0.5,0.4444,0.8,1.0,0.8889,0.4,0.5,0.4444,3.0,10.0,7,3199
earthquake,FGS,1.0315203666687012,5,0.6,0.5,0.5,0.4,0.5,0.4444,0.8,1.0,0.8889,0.4,0.5,0.4444,3.0,10.0,8,316
earthquake,FGS,1.0185015201568604,5,0.6,0.5,0.5,0.4,0.5,0.4444,0.8,1.0,0.8889,0.4,0.5,0.4444,3.0,10.0,9,8266
