dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
sachs,MPC,0.14279556274414062,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0,7816
sachs,MPC,0.14347052574157715,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,1,3578
sachs,MPC,0.14880108833312988,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,2,2656
sachs,MPC,0.14524102210998535,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,3,2688
sachs,MPC,0.13999366760253906,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,4,2494
sachs,MPC,0.1377718448638916,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,5,183
sachs,MPC,0.13933968544006348,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,6,7977
sachs,MPC,0.13405585289001465,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,7,3199
sachs,MPC,0.14248967170715332,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,8,316
sachs,MPC,0.14598298072814941,17,0.0,1.0,0.0,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,9,8266
