dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
survey,FGS,1.328949213027954,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,0.3333,0.1667,0.2222,0.3333,0.25,0.2857,8.0,13.0,19.0,0,7816
survey,FGS,1.0477933883666992,2,0.0,0.3333,0.0,1.0,0.3333,0.5,1.0,0.3333,0.5,0.5,0.25,0.3333,5.0,11.0,24.0,1,3578
survey,FGS,1.0279409885406494,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,0.3333,0.1667,0.2222,0.3333,0.25,0.2857,8.0,14.0,26.0,2,2656
survey,FGS,1.0210902690887451,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,0.4,0.3333,0.3636,0.2,0.25,0.2222,9.0,19.0,25.0,3,2688
survey,FGS,1.0365839004516602,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,0.5,0.1667,0.25,0.5,0.25,0.3333,7.0,14.0,20.0,4,2494
survey,FGS,1.0361328125,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,0.5,0.1667,0.25,0.5,0.25,0.3333,7.0,14.0,20.0,5,183
survey,FGS,1.251901626586914,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,0.3333,0.1667,0.2222,0.3333,0.25,0.2857,8.0,13.0,19.0,6,7977
survey,FGS,1.0345587730407715,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,0.25,0.1667,0.2,0.25,0.25,0.25,9.0,19.0,25.0,7,3199
survey,FGS,1.0081284046173096,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,0.3333,0.1667,0.2222,0.3333,0.25,0.2857,8.0,13.0,19.0,8,316
survey,FGS,1.0244402885437012,3,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,0.6667,0.3333,0.4444,0.3333,0.25,0.2857,7.0,11.0,17.0,9,8266
