dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
survey,MPC,0.009556770324707031,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,1.0,0.8333,0.9091,0.6,0.75,0.6667,4.0,1.0,25.0,0,7816
survey,MPC,0.006945133209228516,3,0.0,0.5,0.0,1.0,0.5,0.6667,1.0,0.5,0.6667,0.6667,0.5,0.5714,5.0,10.0,24.0,1,3578
survey,MPC,0.009160041809082031,5,0.0,0.8333,0.0,0.8,0.6667,0.7273,1.0,0.8333,0.9091,0.6,0.75,0.6667,5.0,15.0,29.0,2,2656
survey,MPC,0.013829946517944336,6,0.0,1.0,0.0,0.8333,0.8333,0.8333,1.0,1.0,1.0,0.5,0.75,0.6,4.0,0.0,30.0,3,2688
survey,MPC,0.007115364074707031,4,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,0.6667,0.8,0.75,0.75,0.75,5.0,10.0,24.0,4,2494
survey,MPC,0.0056781768798828125,3,0.0,0.5,0.0,1.0,0.5,0.6667,1.0,0.5,0.6667,0.6667,0.5,0.5714,5.0,10.0,24.0,5,183
survey,MPC,0.007532835006713867,4,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,0.6667,0.8,0.75,0.75,0.75,5.0,10.0,24.0,6,7977
survey,MPC,0.010686874389648438,5,0.0,0.8333,0.0,0.8,0.6667,0.7273,1.0,0.8333,0.9091,0.6,0.75,0.6667,5.0,15.0,29.0,7,3199
survey,MPC,0.008826732635498047,5,0.0,0.8333,0.0,1.0,0.8333,0.9091,1.0,0.8333,0.9091,0.6,0.75,0.6667,4.0,1.0,25.0,8,316
survey,MPC,0.007943153381347656,4,0.0,0.6667,0.0,1.0,0.6667,0.8,1.0,0.6667,0.8,0.75,0.75,0.75,5.0,10.0,24.0,9,8266
