dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
asia,MPC,0.022881269454956055,6,0.0,0.75,0.0,0.3333,0.25,0.2857,1.0,0.75,0.8571,0.1667,0.25,0.2,5.0,26.0,41.0,0,7816
asia,MPC,0.02175450325012207,5,0.0,0.625,0.0,0.2,0.125,0.1538,1.0,0.625,0.7692,0.2,0.25,0.2222,6.0,22.0,37.0,1,3578
asia,MPC,0.027391672134399414,7,0.1429,0.75,0.05,0.2857,0.25,0.2667,0.8571,0.75,0.8,0.1429,0.25,0.1818,6.0,11.0,50.0,2,2656
asia,MPC,0.02162647247314453,5,0.0,0.625,0.0,0.2,0.125,0.1538,1.0,0.625,0.7692,0.2,0.25,0.2222,6.0,22.0,37.0,3,2688
asia,MPC,0.0255892276763916,5,0.0,0.625,0.0,0.2,0.125,0.1538,1.0,0.625,0.7692,0.2,0.25,0.2222,6.0,22.0,37.0,4,2494
asia,MPC,0.020936012268066406,5,0.0,0.625,0.0,0.2,0.125,0.1538,1.0,0.625,0.7692,0.2,0.25,0.2222,6.0,22.0,37.0,5,183
asia,MPC,0.0228879451751709,6,0.0,0.75,0.0,0.3333,0.25,0.2857,1.0,0.75,0.8571,0.1667,0.25,0.2,5.0,26.0,41.0,6,7977
asia,MPC,0.02725076675415039,5,0.0,0.625,0.0,0.2,0.125,0.1538,1.0,0.625,0.7692,0.2,0.25,0.2222,6.0,22.0,37.0,7,3199
asia,MPC,0.025281667709350586,5,0.0,0.625,0.0,0.2,0.125,0.1538,1.0,0.625,0.7692,0.2,0.25,0.2222,6.0,22.0,37.0,8,316
asia,MPC,0.026267051696777344,7,0.1429,0.75,0.05,0.2857,0.25,0.2667,0.8571,0.75,0.8,0.1429,0.25,0.1818,6.0,13.0,50.0,9,8266
