dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
cancer,FGS,2.7459728717803955,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,0,7816
cancer,FGS,0.13275790214538574,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,1,3578
cancer,FGS,0.12204265594482422,3,0.0,0.75,0.0,0.3333,0.25,0.2857,1.0,0.75,0.8571,0.0,0.0,0.0,3.0,9.0,19.0,2,2656
cancer,FGS,0.09113192558288574,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,3,2688
cancer,FGS,0.09778618812561035,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,4,2494
cancer,FGS,0.09246492385864258,3,0.0,0.75,0.0,0.3333,0.25,0.2857,1.0,0.75,0.8571,0.0,0.0,0.0,3.0,9.0,19.0,5,183
cancer,FGS,0.09256601333618164,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,6,7977
cancer,FGS,0.09020733833312988,3,0.0,0.75,0.0,0.3333,0.25,0.2857,1.0,0.75,0.8571,0.0,0.0,0.0,3.0,9.0,19.0,7,3199
cancer,FGS,0.09343791007995605,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,8,316
cancer,FGS,0.0901942253112793,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,9,8266
