dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
cancer,MPC,0.008811712265014648,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,0,7816
cancer,MPC,0.008249998092651367,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,1,3578
cancer,MPC,0.005839109420776367,3,0.0,0.75,0.0,0.6667,0.5,0.5714,1.0,0.75,0.8571,0.0,0.0,0.0,2.0,1.0,11.0,2,2656
cancer,MPC,0.008919000625610352,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,3,2688
cancer,MPC,0.008544206619262695,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,4,2494
cancer,MPC,0.005200386047363281,3,0.0,0.75,0.0,0.6667,0.5,0.5714,1.0,0.75,0.8571,0.0,0.0,0.0,2.0,1.0,11.0,5,183
cancer,MPC,0.01012873649597168,5,0.2,1.0,0.1667,0.4,0.5,0.4444,0.8,1.0,0.8889,0.0,0.0,0.0,3.0,5.0,15.0,6,7977
cancer,MPC,0.005810737609863281,3,0.0,0.75,0.0,0.6667,0.5,0.5714,1.0,0.75,0.8571,0.0,0.0,0.0,2.0,1.0,11.0,7,3199
cancer,MPC,0.0070629119873046875,3,0.0,0.75,0.0,0.6667,0.5,0.5714,1.0,0.75,0.8571,0.0,0.0,0.0,2.0,1.0,11.0,8,316
cancer,MPC,0.008151769638061523,4,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,9,8266
