dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
child,Random,0.000311,95,0.9684,0.12,0.5576,0.0316,0.12,0.05,0.0947,0.36,0.15,0.0211,0.2,0.0381,109.0,228.0,266.0,0,7816
child,Random,0.000329,99,0.9394,0.24,0.5636,0.0404,0.16,0.0645,0.1414,0.56,0.2258,0.0101,0.1,0.0183,108.0,201.0,258.0,1,3578
child,Random,0.000349,147,0.932,0.4,0.8303,0.068,0.4,0.1163,0.1429,0.84,0.2442,0.0136,0.2,0.0255,149.0,183.0,210.0,2,2656
child,Random,0.00033,138,0.942,0.32,0.7879,0.058,0.32,0.0982,0.1087,0.6,0.184,0.0145,0.2,0.027,145.0,146.0,188.0,3,2688
child,Random,0.000312,88,0.9659,0.12,0.5152,0.0341,0.12,0.0531,0.1023,0.36,0.1593,0.0114,0.1,0.0204,103.0,281.0,288.0,4,2494
child,Random,0.000327,57,0.9649,0.08,0.3333,0.0351,0.08,0.0488,0.1053,0.24,0.1463,0.0175,0.1,0.0299,76.0,296.0,307.0,5,183
child,Random,0.000323,176,0.9205,0.56,0.9818,0.0625,0.44,0.1095,0.142,1.0,0.2488,0.0114,0.2,0.0215,170.0,127.0,206.0,6,7977
child,Random,0.00033,58,0.9138,0.2,0.3212,0.0862,0.2,0.1205,0.1207,0.28,0.1687,0.0345,0.2,0.0588,74.0,238.0,241.0,7,3199
child,Random,0.000326,81,0.9383,0.2,0.4606,0.037,0.12,0.0566,0.1358,0.44,0.2075,0.0,0.0,0.0,93.0,222.0,282.0,8,316
child,Random,0.000337,153,0.9412,0.36,0.8727,0.0588,0.36,0.1011,0.1046,0.64,0.1798,0.0131,0.2,0.0245,159.0,85.0,158.0,9,8266
