dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
child,Random,0.000311,95,0.9684,0.12,0.5576,0.0316,0.12,0.05,0.0947,0.36,0.15,0.0316,0.12,0.05,108.0,254.0,0,7816
child,Random,0.000329,99,0.9495,0.2,0.5697,0.0505,0.2,0.0806,0.1414,0.56,0.2258,0.0505,0.2,0.0806,105.0,211.0,1,3578
child,Random,0.000349,147,0.932,0.4,0.8303,0.068,0.4,0.1163,0.1429,0.84,0.2442,0.068,0.4,0.1163,141.0,198.0,2,2656
child,Random,0.00033,138,0.9493,0.28,0.7939,0.0507,0.28,0.0859,0.1087,0.6,0.184,0.0507,0.28,0.0859,141.0,159.0,3,2688
child,Random,0.000312,88,0.9659,0.12,0.5152,0.0341,0.12,0.0531,0.1023,0.36,0.1593,0.0341,0.12,0.0531,101.0,285.0,4,2494
child,Random,0.000327,57,0.9825,0.04,0.3394,0.0175,0.04,0.0244,0.1053,0.24,0.1463,0.0175,0.04,0.0244,75.0,301.0,5,183
child,Random,0.000323,176,0.9318,0.48,0.9939,0.0682,0.48,0.1194,0.142,1.0,0.2488,0.0682,0.48,0.1194,164.0,166.0,6,7977
child,Random,0.00033,58,0.9138,0.2,0.3212,0.0862,0.2,0.1205,0.1207,0.28,0.1687,0.0862,0.2,0.1205,71.0,239.0,7,3199
child,Random,0.000326,81,0.9383,0.2,0.4606,0.0617,0.2,0.0943,0.1358,0.44,0.2075,0.0617,0.2,0.0943,90.0,231.0,8,316
child,Random,0.000337,153,0.9477,0.32,0.8788,0.0523,0.32,0.0899,0.1046,0.64,0.1798,0.0523,0.32,0.0899,154.0,132.0,9,8266
