dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
earthquake,FGS,0.10608172416687012,4,0.5,0.5,0.3333,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,10.0,0,7816
earthquake,FGS,0.09508681297302246,5,0.6,0.5,0.5,0.4,0.5,0.4444,0.8,1.0,0.8889,0.4,0.5,0.4444,3.0,10.0,1,3578
earthquake,FGS,0.09707403182983398,6,0.6667,0.5,0.6667,0.3333,0.5,0.4,0.6667,1.0,0.8,0.3333,0.5,0.4,4.0,10.0,2,2656
earthquake,FGS,0.08886957168579102,4,0.5,0.5,0.3333,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,10.0,3,2688
earthquake,FGS,0.10106706619262695,5,0.6,0.5,0.5,0.4,0.5,0.4444,0.8,1.0,0.8889,0.4,0.5,0.4444,3.0,10.0,4,2494
earthquake,FGS,0.0939638614654541,5,0.6,0.5,0.5,0.4,0.5,0.4444,0.8,1.0,0.8889,0.4,0.5,0.4444,3.0,10.0,5,183
earthquake,FGS,0.09124875068664551,4,0.5,0.5,0.3333,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,10.0,6,7977
earthquake,FGS,0.09575653076171875,5,0.6,0.5,0.5,0.4,0.5,0.4444,0.8,1.0,0.8889,0.4,0.5,0.4444,3.0,10.0,7,3199
earthquake,FGS,0.09728431701660156,5,0.6,0.5,0.5,0.4,0.5,0.4444,0.8,1.0,0.8889,0.4,0.5,0.4444,3.0,10.0,8,316
earthquake,FGS,0.10166740417480469,5,0.6,0.5,0.5,0.4,0.5,0.4444,0.8,1.0,0.8889,0.4,0.5,0.4444,3.0,10.0,9,8266
