dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
sachs,FGS,0.14377975463867188,17,0.7647,0.2353,0.3421,0.1176,0.1176,0.1176,0.4118,0.4118,0.4118,0.0,0.0,0.0,25.0,41.0,52.0,0,7816
sachs,FGS,0.14009380340576172,15,0.8,0.1765,0.3158,0.1333,0.1176,0.125,0.4,0.3529,0.375,0.0,0.0,0.0,25.0,42.0,45.0,1,3578
sachs,FGS,0.1456611156463623,16,0.8125,0.1765,0.3421,0.125,0.1176,0.1212,0.375,0.3529,0.3636,0.0,0.0,0.0,26.0,43.0,51.0,2,2656
sachs,FGS,0.1425788402557373,16,0.8125,0.1765,0.3421,0.125,0.1176,0.1212,0.375,0.3529,0.3636,0.0,0.0,0.0,26.0,43.0,51.0,3,2688
sachs,FGS,0.13135647773742676,17,0.6471,0.3529,0.2895,0.1765,0.1765,0.1765,0.5882,0.5882,0.5882,0.0,0.0,0.0,21.0,36.0,49.0,4,2494
sachs,FGS,0.1234734058380127,12,0.9167,0.0588,0.2895,0.0833,0.0588,0.069,0.3333,0.2353,0.2759,0.0,0.0,0.0,25.0,50.0,50.0,5,183
sachs,FGS,0.13255524635314941,16,0.6875,0.2941,0.2895,0.1875,0.1765,0.1818,0.5,0.4706,0.4848,0.0,0.0,0.0,23.0,39.0,50.0,6,7977
sachs,FGS,0.13155865669250488,14,0.8571,0.1176,0.3158,0.0714,0.0588,0.0645,0.3571,0.2941,0.3226,0.0,0.0,0.0,25.0,47.0,55.0,7,3199
sachs,FGS,0.13259506225585938,16,0.6875,0.2941,0.2895,0.1875,0.1765,0.1818,0.5,0.4706,0.4848,0.0,0.0,0.0,23.0,39.0,50.0,8,316
sachs,FGS,0.13335180282592773,17,0.8235,0.1765,0.3684,0.1176,0.1176,0.1176,0.3529,0.3529,0.3529,0.0,0.0,0.0,27.0,43.0,51.0,9,8266
