dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
sachs,Random,0.000278,49,0.8367,0.4706,1.0789,0.1633,0.4706,0.2424,0.3265,0.9412,0.4848,0.1633,0.4706,0.2424,42.0,38.0,0,7816
sachs,Random,0.000282,26,0.8846,0.1765,0.6053,0.1154,0.1765,0.1395,0.2692,0.4118,0.3256,0.1154,0.1765,0.1395,33.0,49.0,1,3578
sachs,Random,0.000309,28,0.8214,0.2941,0.6053,0.1786,0.2941,0.2222,0.2857,0.4706,0.3556,0.1786,0.2941,0.2222,32.0,46.0,2,2656
sachs,Random,0.000288,50,0.78,0.6471,1.0263,0.22,0.6471,0.3284,0.28,0.8235,0.4179,0.22,0.6471,0.3284,42.0,32.0,3,2688
sachs,Random,0.000285,15,0.8,0.1765,0.3158,0.2,0.1765,0.1875,0.2667,0.2353,0.25,0.2,0.1765,0.1875,25.0,42.0,4,2494
sachs,Random,0.000306,48,0.8333,0.4706,1.0526,0.1667,0.4706,0.2462,0.3542,1.0,0.5231,0.1667,0.4706,0.2462,40.0,36.0,5,183
sachs,Random,0.000295,39,0.7949,0.4706,0.8158,0.2051,0.4706,0.2857,0.3077,0.7059,0.4286,0.2051,0.4706,0.2857,36.0,43.0,6,7977
sachs,Random,0.000306,49,0.8571,0.4118,1.1053,0.1429,0.4118,0.2121,0.3265,0.9412,0.4848,0.1429,0.4118,0.2121,43.0,42.0,7,3199
sachs,Random,0.000294,34,0.8235,0.3529,0.7368,0.1765,0.3529,0.2353,0.3529,0.7059,0.4706,0.1765,0.3529,0.2353,33.0,44.0,8,316
sachs,Random,0.000293,22,0.9545,0.0588,0.5526,0.0455,0.0588,0.0513,0.2273,0.2941,0.2564,0.0455,0.0588,0.0513,33.0,55.0,9,8266
