dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
survey,MPC,0.010657787322998047,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,0,7816
survey,MPC,0.011898517608642578,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,1,3578
survey,MPC,0.011196374893188477,2,0.0,0.3333,0.0,1.0,0.3333,0.5,1.0,0.3333,0.5,1.0,0.3333,0.5,4.0,12.0,2,2656
survey,MPC,0.01454615592956543,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,1.0,0.8333,0.9091,0.8,0.6667,0.7273,2.0,11.0,3,2688
survey,MPC,0.00813436508178711,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,4,2494
survey,MPC,0.008486270904541016,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,5,183
survey,MPC,0.008787155151367188,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,6,7977
survey,MPC,0.011288881301879883,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,1.0,0.8333,0.9091,0.8,0.6667,0.7273,2.0,9.0,7,3199
survey,MPC,0.010599613189697266,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,8,316
survey,MPC,0.011288166046142578,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,1.0,0.8333,0.9091,0.8,0.6667,0.7273,2.0,9.0,9,8266
