dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
asia,BOSS,4.545331716537476,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,0,7816
asia,BOSS,4.602520942687988,9,0.2222,0.875,0.1,0.2222,0.25,0.2353,7.0,1.0,47.0,1,3578
asia,BOSS,5.67066216468811,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,2,2656
asia,BOSS,4.507956027984619,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,3,2688
asia,BOSS,4.3808794021606445,9,0.2222,0.875,0.1,0.2222,0.25,0.2353,7.0,1.0,47.0,4,2494
asia,BOSS,4.875208377838135,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,5,183
asia,BOSS,5.331407070159912,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,6,7977
asia,BOSS,4.097692489624023,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,7,3199
asia,BOSS,4.433694124221802,7,0.0,0.875,0.0,0.2857,0.25,0.2667,5.0,1.0,47.0,8,316
asia,BOSS,4.236863136291504,8,0.25,0.75,0.1,0.125,0.125,0.125,8.0,3.0,46.0,9,8266
asia,BOSS,5.140712261199951,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,10,1532
asia,BOSS,5.217299222946167,9,0.2222,0.875,0.1,0.2222,0.25,0.2353,7.0,1.0,47.0,11,1009
asia,BOSS,4.59649658203125,9,0.1111,1.0,0.05,0.3333,0.375,0.3529,5.0,0.0,51.0,12,2250
asia,BOSS,4.5117506980896,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,13,4447
asia,BOSS,4.913775205612183,9,0.2222,0.875,0.1,0.2222,0.25,0.2353,7.0,1.0,47.0,14,2415
asia,BOSS,5.12373161315918,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,15,3595
asia,BOSS,3.9405901432037354,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,16,4187
asia,BOSS,4.0292792320251465,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,17,4135
asia,BOSS,6.0213541984558105,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,18,5174
asia,BOSS,4.822321176528931,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,19,5303
asia,BOSS,4.058685064315796,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,20,3942
asia,BOSS,4.761363506317139,8,0.25,0.75,0.1,0.125,0.125,0.125,8.0,3.0,46.0,21,2778
asia,BOSS,4.491008758544922,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,22,2804
asia,BOSS,4.839427471160889,8,0.25,0.75,0.1,0.25,0.25,0.25,8.0,4.0,49.0,23,2145
asia,BOSS,4.618687868118286,8,0.125,0.875,0.05,0.25,0.25,0.25,6.0,1.0,47.0,24,150
