dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
cancer,BOSS,0.14934110641479492,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,0,7816
cancer,BOSS,0.1472148895263672,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,1,3578
cancer,BOSS,0.145829439163208,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,2,2656
cancer,BOSS,0.14304065704345703,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,3,2688
cancer,BOSS,0.1389939785003662,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,4,2494
cancer,BOSS,0.1471245288848877,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,5,183
cancer,BOSS,0.14889264106750488,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,6,7977
cancer,BOSS,0.1443474292755127,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,7,3199
cancer,BOSS,0.10858368873596191,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,8,316
cancer,BOSS,0.14866185188293457,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,9,8266
cancer,BOSS,0.1475679874420166,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,10,1532
cancer,BOSS,0.1392827033996582,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,11,1009
cancer,BOSS,0.15241765975952148,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,12,2250
cancer,BOSS,0.14356374740600586,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,13,4447
cancer,BOSS,0.15112042427062988,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,14,2415
cancer,BOSS,0.1013176441192627,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,15,3595
cancer,BOSS,0.1109168529510498,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,16,4187
cancer,BOSS,0.1895449161529541,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,17,4135
cancer,BOSS,0.13441252708435059,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,9.0,19.0,18,5174
cancer,BOSS,0.12070846557617188,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,9.0,19.0,19,5303
cancer,BOSS,0.15296435356140137,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,20,3942
cancer,BOSS,0.14574670791625977,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,21,2778
cancer,BOSS,0.1459817886352539,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,22,2804
cancer,BOSS,0.14475178718566895,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,23,2145
cancer,BOSS,0.14757823944091797,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,24,150
cancer,BOSS,0.1077120304107666,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,25,8823
cancer,BOSS,0.1502377986907959,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,26,4669
cancer,BOSS,0.14059686660766602,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,27,6131
cancer,BOSS,0.1465442180633545,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,28,2617
cancer,BOSS,0.16582226753234863,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,29,7166
cancer,BOSS,0.14985918998718262,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,30,1428
cancer,BOSS,0.23983097076416016,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,31,8328
cancer,BOSS,0.13844799995422363,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,32,8289
cancer,BOSS,0.15184974670410156,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,33,5978
cancer,BOSS,0.10812950134277344,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,34,5511
cancer,BOSS,0.11253714561462402,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,35,5864
cancer,BOSS,0.145310640335083,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,36,606
cancer,BOSS,0.10818886756896973,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,37,1933
cancer,BOSS,0.14365553855895996,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,38,6071
cancer,BOSS,0.14284634590148926,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,39,5504
cancer,BOSS,0.10503339767456055,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,40,5163
cancer,BOSS,0.10141754150390625,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,41,2406
cancer,BOSS,0.15003299713134766,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,42,304
cancer,BOSS,0.15747666358947754,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,43,3391
