dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
cancer,GRaSP,0.15308165550231934,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,0,7816
cancer,GRaSP,0.14980602264404297,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,1,3578
cancer,GRaSP,0.15503239631652832,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,2,2656
cancer,GRaSP,0.12421846389770508,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,3,2688
cancer,GRaSP,0.12655210494995117,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,4,2494
cancer,GRaSP,0.1580519676208496,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,5,183
cancer,GRaSP,0.12485980987548828,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,6,7977
cancer,GRaSP,0.1293342113494873,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,7,3199
cancer,GRaSP,0.10556983947753906,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,8,316
cancer,GRaSP,0.15840697288513184,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,9,8266
cancer,GRaSP,0.1315598487854004,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,10,1532
cancer,GRaSP,0.13213658332824707,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,11,1009
cancer,GRaSP,0.11124420166015625,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,12,2250
cancer,GRaSP,0.13182425498962402,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,13,4447
cancer,GRaSP,0.13297033309936523,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,14,2415
cancer,GRaSP,0.1027686595916748,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,15,3595
cancer,GRaSP,0.11048126220703125,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,16,4187
cancer,GRaSP,0.21119451522827148,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,17,4135
cancer,GRaSP,0.11933135986328125,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,9.0,19.0,18,5174
cancer,GRaSP,0.09905052185058594,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,19,5303
cancer,GRaSP,0.15978312492370605,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,20,3942
cancer,GRaSP,0.10460877418518066,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,21,2778
cancer,GRaSP,0.1267228126525879,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,22,2804
cancer,GRaSP,0.1215362548828125,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,23,2145
cancer,GRaSP,0.17095613479614258,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,24,150
cancer,GRaSP,0.10732197761535645,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,25,8823
cancer,GRaSP,0.1606309413909912,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,26,4669
cancer,GRaSP,0.10034537315368652,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,27,6131
cancer,GRaSP,0.16481328010559082,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,28,2617
cancer,GRaSP,0.12553882598876953,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,29,7166
cancer,GRaSP,0.13439393043518066,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,30,1428
cancer,GRaSP,0.16933345794677734,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,31,8328
cancer,GRaSP,0.15074968338012695,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,32,8289
cancer,GRaSP,0.13544178009033203,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,33,5978
cancer,GRaSP,0.09759998321533203,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,34,5511
cancer,GRaSP,0.11072707176208496,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,35,5864
cancer,GRaSP,0.14975428581237793,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,36,606
cancer,GRaSP,0.09151887893676758,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,37,1933
cancer,GRaSP,0.10461044311523438,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,38,6071
cancer,GRaSP,0.1490187644958496,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,39,5504
cancer,GRaSP,0.08896017074584961,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,40,5163
cancer,GRaSP,0.08620715141296387,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,41,2406
cancer,GRaSP,0.10801005363464355,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,42,304
cancer,GRaSP,0.11328744888305664,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,43,3391
cancer,GRaSP,0.15495920181274414,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,44,359
cancer,GRaSP,0.17442727088928223,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,45,9096
cancer,GRaSP,0.08675694465637207,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,46,3533
cancer,GRaSP,0.16449522972106934,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,47,4125
cancer,GRaSP,0.08867192268371582,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,48,3094
cancer,GRaSP,0.10128426551818848,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,15.0,49,6398
