dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
child,GRaSP,278.3880879878998,22,0.0,0.88,0.0,0.6364,0.56,0.5957,10.0,52.0,380.0,0,7816
child,GRaSP,382.46760845184326,24,0.0417,0.92,0.0061,0.6667,0.64,0.6531,12.0,18.0,380.0,1,3578
child,GRaSP,213.0936028957367,23,0.0435,0.88,0.0061,0.6522,0.6,0.625,13.0,21.0,380.0,2,2656
child,GRaSP,428.19779229164124,24,0.0,0.96,0.0,0.6667,0.64,0.6531,10.0,17.0,380.0,3,2688
child,GRaSP,402.1697130203247,22,0.0,0.88,0.0,0.6818,0.6,0.6383,11.0,35.0,380.0,4,2494
child,GRaSP,263.34768557548523,25,0.12,0.88,0.0182,0.6,0.6,0.6,14.0,33.0,380.0,5,183
child,GRaSP,497.31248331069946,23,0.0,0.92,0.0,0.6522,0.6,0.625,10.0,35.0,380.0,6,7977
child,GRaSP,415.05212330818176,24,0.0,0.96,0.0,0.6667,0.64,0.6531,10.0,17.0,380.0,7,3199
child,GRaSP,410.08966064453125,24,0.0417,0.92,0.0061,0.5833,0.56,0.5714,12.0,35.0,380.0,8,316
child,GRaSP,585.3152945041656,22,0.0,0.88,0.0,0.6818,0.6,0.6383,10.0,49.0,380.0,9,8266
child,GRaSP,495.34939765930176,23,0.0,0.92,0.0,0.6957,0.64,0.6667,11.0,18.0,380.0,10,1532
child,GRaSP,351.9098057746887,25,0.0,1.0,0.0,0.64,0.64,0.64,10.0,0.0,380.0,11,1009
child,GRaSP,393.97285652160645,24,0.0417,0.92,0.0061,0.625,0.6,0.6122,12.0,16.0,380.0,12,2250
child,GRaSP,574.1566805839539,23,0.087,0.84,0.0121,0.6522,0.6,0.625,14.0,36.0,380.0,13,4447
child,GRaSP,293.0475289821625,26,0.0385,1.0,0.0061,0.6154,0.64,0.6275,11.0,0.0,380.0,14,2415
child,GRaSP,470.62324929237366,24,0.0417,0.92,0.0061,0.5833,0.56,0.5714,12.0,23.0,380.0,15,3595
child,GRaSP,402.9493715763092,22,0.0,0.88,0.0,0.6364,0.56,0.5957,11.0,51.0,380.0,16,4187
child,GRaSP,284.2289066314697,27,0.0741,1.0,0.0121,0.5926,0.64,0.6154,12.0,0.0,380.0,17,4135
child,GRaSP,335.04495644569397,27,0.1111,0.96,0.0182,0.5926,0.64,0.6154,13.0,17.0,380.0,18,5174
child,GRaSP,499.3270671367645,24,0.0,0.96,0.0,0.625,0.6,0.6122,10.0,17.0,380.0,19,5303
child,GRaSP,459.11950731277466,24,0.0833,0.88,0.0121,0.5833,0.56,0.5714,14.0,32.0,380.0,20,3942
child,GRaSP,243.340833902359,23,0.0435,0.88,0.0061,0.6522,0.6,0.625,12.0,36.0,380.0,21,2778
