dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
child,GRaSP,278.3880879878998,9,0.1111,0.32,0.0061,0.8889,0.32,0.4706,17.0,260.0,0,7816
child,GRaSP,382.46760845184326,7,0.0,0.28,0.0,1.0,0.28,0.4375,18.0,261.0,1,3578
child,GRaSP,213.0936028957367,10,0.0,0.4,0.0,1.0,0.4,0.5714,15.0,224.0,2,2656
child,GRaSP,428.19779229164124,10,0.0,0.4,0.0,1.0,0.4,0.5714,15.0,224.0,3,2688
child,GRaSP,402.1697130203247,9,0.0,0.36,0.0,1.0,0.36,0.5294,16.0,241.0,4,2494
child,GRaSP,263.34768557548523,11,0.2727,0.32,0.0182,0.7273,0.32,0.4444,19.0,241.0,5,183
child,GRaSP,497.31248331069946,8,0.0,0.32,0.0,1.0,0.32,0.4848,17.0,243.0,6,7977
child,GRaSP,415.05212330818176,10,0.0,0.4,0.0,1.0,0.4,0.5714,15.0,224.0,7,3199
child,GRaSP,410.08966064453125,13,0.1538,0.44,0.0121,0.8462,0.44,0.5789,15.0,221.0,8,316
child,GRaSP,585.3152945041656,5,0.0,0.2,0.0,1.0,0.2,0.3333,20.0,280.0,9,8266
child,GRaSP,495.34939765930176,10,0.0,0.4,0.0,1.0,0.4,0.5714,15.0,224.0,10,1532
child,GRaSP,351.9098057746887,13,0.0,0.52,0.0,1.0,0.52,0.6842,12.0,187.0,11,1009
child,GRaSP,393.97285652160645,10,0.0,0.4,0.0,1.0,0.4,0.5714,15.0,224.0,12,2250
child,GRaSP,574.1566805839539,18,0.2778,0.52,0.0303,0.7222,0.52,0.6047,14.0,179.0,13,4447
child,GRaSP,293.0475289821625,12,0.0833,0.44,0.0061,0.9167,0.44,0.5946,14.0,215.0,14,2415
child,GRaSP,470.62324929237366,11,0.0,0.44,0.0,1.0,0.44,0.6111,14.0,206.0,15,3595
child,GRaSP,402.9493715763092,9,0.0,0.36,0.0,1.0,0.36,0.5294,16.0,241.0,16,4187
child,GRaSP,284.2289066314697,23,0.1739,0.76,0.0242,0.8261,0.76,0.7917,6.0,125.0,17,4135
child,GRaSP,335.04495644569397,12,0.25,0.36,0.0182,0.75,0.36,0.4865,17.0,233.0,18,5174
child,GRaSP,499.3270671367645,12,0.0,0.48,0.0,1.0,0.48,0.6486,13.0,204.0,19,5303
child,GRaSP,459.11950731277466,12,0.1667,0.4,0.0121,0.8333,0.4,0.5405,16.0,219.0,20,3942
