dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
earthquake,BOSS,0.6472594738006592,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,0,7816
earthquake,BOSS,0.6573188304901123,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,1,3578
earthquake,BOSS,0.597954273223877,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,2,2656
earthquake,BOSS,0.5955069065093994,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,3,2688
earthquake,BOSS,0.567681074142456,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,4,2494
earthquake,BOSS,0.6139533519744873,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,5,183
earthquake,BOSS,0.6430866718292236,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,6,7977
earthquake,BOSS,0.6327188014984131,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,7,3199
earthquake,BOSS,0.6425418853759766,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,8,316
earthquake,BOSS,0.6713027954101562,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,9,8266
earthquake,BOSS,0.619359016418457,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,10,1532
earthquake,BOSS,0.6323390007019043,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,11,1009
earthquake,BOSS,0.5973324775695801,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,12,2250
earthquake,BOSS,0.6313161849975586,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,13,4447
earthquake,BOSS,0.5836272239685059,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,14,2415
earthquake,BOSS,0.6143851280212402,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,15,3595
earthquake,BOSS,0.6430890560150146,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,16,4187
earthquake,BOSS,0.644559383392334,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,17,4135
earthquake,BOSS,0.655587911605835,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,18,5174
earthquake,BOSS,0.6409187316894531,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,19,5303
earthquake,BOSS,0.5791425704956055,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,20,3942
earthquake,BOSS,0.6079161167144775,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,21,2778
earthquake,BOSS,0.6443536281585693,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,22,2804
earthquake,BOSS,0.6018505096435547,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,23,2145
earthquake,BOSS,0.6150147914886475,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,24,150
earthquake,BOSS,0.5637302398681641,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,25,8823
earthquake,BOSS,0.6427433490753174,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,26,4669
earthquake,BOSS,0.6009056568145752,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,27,6131
earthquake,BOSS,0.7245821952819824,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,28,2617
earthquake,BOSS,0.6074120998382568,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,29,7166
earthquake,BOSS,0.6071155071258545,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,30,1428
earthquake,BOSS,0.5680880546569824,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,31,8328
earthquake,BOSS,0.628878116607666,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,32,8289
earthquake,BOSS,0.6065468788146973,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,33,5978
earthquake,BOSS,0.6568481922149658,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,34,5511
earthquake,BOSS,0.6143903732299805,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,0.0,14.0,35,5864
earthquake,BOSS,0.5993678569793701,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,36,606
earthquake,BOSS,0.5998659133911133,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,37,1933
earthquake,BOSS,0.5590887069702148,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,38,6071
earthquake,BOSS,0.637908935546875,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,39,5504
earthquake,BOSS,0.6080141067504883,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,40,5163
earthquake,BOSS,0.5953850746154785,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,41,2406
earthquake,BOSS,0.5795252323150635,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,42,304
earthquake,BOSS,0.59159255027771,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,43,3391
earthquake,BOSS,0.6256535053253174,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,44,359
earthquake,BOSS,0.6270389556884766,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,45,9096
earthquake,BOSS,0.5900540351867676,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,46,3533
earthquake,BOSS,0.6482484340667725,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,47,4125
earthquake,BOSS,0.591975212097168,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,48,3094
earthquake,BOSS,0.6246042251586914,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,49,6398
