dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
earthquake,MPC,0.009963035583496094,4,,,,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,0,7816
earthquake,MPC,0.010370969772338867,4,,,,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,1,3578
earthquake,MPC,0.010846138000488281,5,,,,0.4,0.5,0.4444,0.8,1.0,0.8889,0.0,0.0,0.0,3.0,5.0,15.0,2,2656
earthquake,MPC,0.010312557220458984,5,,,,0.4,0.5,0.4444,0.8,1.0,0.8889,0.0,0.0,0.0,3.0,5.0,19.0,3,2688
earthquake,MPC,0.011509418487548828,5,,,,0.4,0.5,0.4444,0.8,1.0,0.8889,0.0,0.0,0.0,3.0,5.0,15.0,4,2494
earthquake,MPC,0.010333776473999023,4,,,,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,5,183
earthquake,MPC,0.009958505630493164,4,,,,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,6,7977
earthquake,MPC,0.011106729507446289,5,,,,0.4,0.5,0.4444,0.8,1.0,0.8889,0.0,0.0,0.0,3.0,5.0,15.0,7,3199
earthquake,MPC,0.011103630065917969,5,,,,0.4,0.5,0.4444,0.8,1.0,0.8889,0.0,0.0,0.0,3.0,5.0,19.0,8,316
earthquake,MPC,0.010181188583374023,4,,,,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,15.0,9,8266
