dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
sachs,MPC,0.15018200874328613,17,,,,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0,7816
sachs,MPC,0.14649081230163574,17,,,,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,1,3578
sachs,MPC,0.15121078491210938,17,,,,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,2,2656
sachs,MPC,0.1542661190032959,17,,,,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,3,2688
sachs,MPC,0.15334844589233398,17,,,,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,4,2494
sachs,MPC,0.14955782890319824,17,,,,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,5,183
sachs,MPC,0.1406993865966797,17,,,,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,6,7977
sachs,MPC,0.14308547973632812,17,,,,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,7,3199
sachs,MPC,0.15337157249450684,17,,,,0.1176,0.1176,0.1176,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,8,316
sachs,MPC,0.15309381484985352,18,,,,0.1111,0.1176,0.1143,0.9444,1.0,0.9714,0.0,0.0,0.0,1.0,0.0,46.0,9,8266
