dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
sachs,MPC,0.15018200874328613,0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,0,7816
sachs,MPC,0.14649081230163574,0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,1,3578
sachs,MPC,0.15121078491210938,0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,2,2656
sachs,MPC,0.1542661190032959,0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,3,2688
sachs,MPC,0.15334844589233398,0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,4,2494
sachs,MPC,0.14955782890319824,0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,5,183
sachs,MPC,0.1406993865966797,0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,6,7977
sachs,MPC,0.14308547973632812,0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,7,3199
sachs,MPC,0.15337157249450684,0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,8,316
sachs,MPC,0.15309381484985352,0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,9,8266
