dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
sachs,MPC,0.03135251998901367,13,0.0769,0.7059,0.0263,0.0769,0.0588,0.0667,6.0,29.0,62.0,0,7816
sachs,MPC,0.033289194107055664,12,0.0833,0.6471,0.0263,0.0833,0.0588,0.069,7.0,31.0,62.0,1,3578
sachs,MPC,0.030977249145507812,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,30.0,62.0,2,2656
sachs,MPC,0.03636789321899414,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,29.0,62.0,3,2688
sachs,MPC,0.03202676773071289,14,0.1429,0.7059,0.0526,0.0714,0.0588,0.0645,7.0,25.0,62.0,4,2494
sachs,MPC,0.021376371383666992,12,0.0833,0.6471,0.0263,0.0833,0.0588,0.069,7.0,29.0,62.0,5,183
sachs,MPC,0.033977508544921875,15,0.2,0.7059,0.0789,0.0667,0.0588,0.0625,8.0,24.0,62.0,6,7977
sachs,MPC,0.031319618225097656,14,0.1429,0.7059,0.0526,0.0714,0.0588,0.0645,7.0,26.0,62.0,7,3199
sachs,MPC,0.03508806228637695,14,0.2143,0.6471,0.0789,0.0714,0.0588,0.0645,9.0,26.0,62.0,8,316
sachs,MPC,0.03233170509338379,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,27.0,62.0,9,8266
sachs,MPC,0.02979111671447754,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,30.0,62.0,10,1532
sachs,MPC,0.03531694412231445,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,31.0,62.0,11,1009
sachs,MPC,0.03386330604553223,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,30.0,62.0,12,2250
sachs,MPC,0.0396726131439209,14,0.2143,0.6471,0.0789,0.0714,0.0588,0.0645,9.0,26.0,62.0,13,4447
sachs,MPC,0.03963208198547363,14,0.2143,0.6471,0.0789,0.0714,0.0588,0.0645,9.0,28.0,62.0,14,2415
sachs,MPC,0.03774690628051758,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,30.0,62.0,15,3595
sachs,MPC,0.030371427536010742,13,0.1538,0.6471,0.0526,0.0769,0.0588,0.0667,8.0,30.0,62.0,16,4187
sachs,MPC,0.037015438079833984,14,0.2143,0.6471,0.0789,0.0714,0.0588,0.0645,9.0,27.0,62.0,17,4135
sachs,MPC,0.027911663055419922,12,0.0833,0.6471,0.0263,0.0833,0.0588,0.069,7.0,31.0,62.0,18,5174
sachs,MPC,0.03180384635925293,14,0.1429,0.7059,0.0526,0.0714,0.0588,0.0645,7.0,27.0,62.0,19,5303
sachs,MPC,0.02954411506652832,12,0.0833,0.6471,0.0263,0.0833,0.0588,0.069,7.0,31.0,62.0,20,3942
