dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
asia,NOTEARS-MLP,2.246220350265503,6,0.3333,0.5,0.1,0.6667,0.5,0.5714,5.0,18.0,0,7816
asia,NOTEARS-MLP,2.151672601699829,6,0.3333,0.5,0.1,0.6667,0.5,0.5714,5.0,22.0,1,3578
asia,NOTEARS-MLP,2.3900365829467773,4,1.0,0.0,0.2,0.0,0.0,,9.0,34.0,2,2656
asia,NOTEARS-MLP,3.176398992538452,6,0.5,0.375,0.15,0.5,0.375,0.4286,6.0,20.0,3,2688
asia,NOTEARS-MLP,1.5631215572357178,5,0.4,0.375,0.1,0.6,0.375,0.4615,6.0,23.0,4,2494
asia,NOTEARS-MLP,2.2036802768707275,6,0.5,0.375,0.15,0.5,0.375,0.4286,6.0,26.0,5,183
asia,NOTEARS-MLP,1.04109787940979,5,0.8,0.125,0.2,0.2,0.125,0.1538,8.0,38.0,6,7977
asia,NOTEARS-MLP,2.6775779724121094,6,0.3333,0.5,0.1,0.6667,0.5,0.5714,5.0,17.0,7,3199
asia,NOTEARS-MLP,2.292288303375244,6,0.3333,0.5,0.1,0.6667,0.5,0.5714,5.0,17.0,8,316
asia,NOTEARS-MLP,2.5140583515167236,6,0.6667,0.25,0.2,0.3333,0.25,0.2857,7.0,33.0,9,8266
