dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
child,NOTEARS-MLP,4.222975254058838,21,0.4762,0.44,0.0606,0.5238,0.44,0.4783,19.0,188.0,0,7816
child,NOTEARS-MLP,4.014147996902466,21,0.619,0.32,0.0788,0.381,0.32,0.3478,22.0,256.0,1,3578
child,NOTEARS-MLP,5.086552143096924,22,0.5,0.44,0.0667,0.5,0.44,0.4681,19.0,216.0,2,2656
child,NOTEARS-MLP,4.171733617782593,22,0.5909,0.36,0.0788,0.4091,0.36,0.383,22.0,236.0,3,2688
child,NOTEARS-MLP,3.658677101135254,19,0.4211,0.44,0.0485,0.5789,0.44,0.5,17.0,173.0,4,2494
child,NOTEARS-MLP,5.398947238922119,20,0.5,0.4,0.0606,0.5,0.4,0.4444,19.0,185.0,5,183
child,NOTEARS-MLP,4.100512742996216,21,0.619,0.32,0.0788,0.381,0.32,0.3478,22.0,255.0,6,7977
child,NOTEARS-MLP,4.74120831489563,21,0.4286,0.48,0.0545,0.5714,0.48,0.5217,18.0,198.0,7,3199
child,NOTEARS-MLP,3.9774160385131836,19,0.4737,0.4,0.0545,0.5263,0.4,0.4545,18.0,213.0,8,316
child,NOTEARS-MLP,5.383206367492676,20,0.6,0.32,0.0727,0.4,0.32,0.3556,21.0,259.0,9,8266
