dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
earthquake,NOTEARS-MLP,2.081084966659546,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,0,7816
earthquake,NOTEARS-MLP,2.9359781742095947,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,1,3578
earthquake,NOTEARS-MLP,2.8858768939971924,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,2,2656
earthquake,NOTEARS-MLP,2.616182327270508,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,3,2688
earthquake,NOTEARS-MLP,2.615586996078491,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0,4,2494
earthquake,NOTEARS-MLP,2.116485834121704,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,5,183
earthquake,NOTEARS-MLP,1.496471881866455,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,6,7977
earthquake,NOTEARS-MLP,2.04160475730896,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,7,3199
earthquake,NOTEARS-MLP,2.327995777130127,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0,8,316
earthquake,NOTEARS-MLP,1.6223773956298828,4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,9,8266
