dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
sachs,NOTEARS-MLP,2.1335132122039795,7,0.0,0.4118,0.0,0.0,0.0,,10.0,40.0,60.0,0,7816
sachs,NOTEARS-MLP,1.5693573951721191,7,0.1429,0.3529,0.0263,0.1429,0.0588,0.0833,12.0,42.0,60.0,1,3578
sachs,NOTEARS-MLP,2.0035629272460938,5,0.0,0.2941,0.0,0.0,0.0,,12.0,41.0,62.0,2,2656
sachs,NOTEARS-MLP,1.8209245204925537,6,0.0,0.3529,0.0,0.0,0.0,,11.0,40.0,61.0,3,2688
sachs,NOTEARS-MLP,1.5887420177459717,5,0.0,0.2941,0.0,0.0,0.0,,12.0,41.0,62.0,4,2494
sachs,NOTEARS-MLP,1.6010570526123047,5,0.0,0.2941,0.0,0.0,0.0,,12.0,41.0,62.0,5,183
sachs,NOTEARS-MLP,1.431058645248413,6,0.0,0.3529,0.0,0.0,0.0,,11.0,41.0,61.0,6,7977
sachs,NOTEARS-MLP,1.3042733669281006,5,0.2,0.2353,0.0263,0.2,0.0588,0.0909,14.0,47.0,52.0,7,3199
sachs,NOTEARS-MLP,1.4562020301818848,5,0.2,0.2353,0.0263,0.2,0.0588,0.0909,14.0,43.0,61.0,8,316
sachs,NOTEARS-MLP,1.3759264945983887,6,0.0,0.3529,0.0,0.0,0.0,,11.0,41.0,61.0,9,8266
