dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
asia,NOTEARS-MLP,2.07466721534729,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,0.7143,0.625,0.6667,0.2857,0.25,0.2667,8.0,38.0,0,7816
asia,NOTEARS-MLP,2.369819164276123,7,0.5714,0.375,0.2,0.4286,0.375,0.4,0.8571,0.75,0.8,0.4286,0.375,0.4,6.0,26.0,1,3578
asia,NOTEARS-MLP,2.3406097888946533,6,0.5,0.375,0.15,0.5,0.375,0.4286,0.8333,0.625,0.7143,0.5,0.375,0.4286,6.0,26.0,2,2656
asia,NOTEARS-MLP,2.058135747909546,7,0.4286,0.5,0.15,0.5714,0.5,0.5333,0.7143,0.625,0.6667,0.5714,0.5,0.5333,6.0,28.0,3,2688
asia,NOTEARS-MLP,1.9357762336730957,6,0.8333,0.125,0.25,0.1667,0.125,0.1429,0.8333,0.625,0.7143,0.1667,0.125,0.1429,8.0,41.0,4,2494
asia,NOTEARS-MLP,1.103933334350586,6,0.6667,0.25,0.2,0.3333,0.25,0.2857,0.8333,0.625,0.7143,0.3333,0.25,0.2857,7.0,33.0,5,183
asia,NOTEARS-MLP,1.946683645248413,6,1.0,0.0,0.3,0.0,0.0,,0.8333,0.625,0.7143,0.0,0.0,0.0,9.0,44.0,6,7977
asia,NOTEARS-MLP,1.9535703659057617,5,0.6,0.25,0.15,0.4,0.25,0.3077,0.8,0.5,0.6154,0.4,0.25,0.3077,7.0,28.0,7,3199
asia,NOTEARS-MLP,2.6964378356933594,6,0.3333,0.5,0.1,0.6667,0.5,0.5714,0.8333,0.625,0.7143,0.6667,0.5,0.5714,5.0,22.0,8,316
asia,NOTEARS-MLP,2.558678150177002,6,0.3333,0.5,0.1,0.6667,0.5,0.5714,0.8333,0.625,0.7143,0.6667,0.5,0.5714,5.0,18.0,9,8266
