dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
cancer,NOTEARS-MLP,48.68720364570618,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0,7816
cancer,NOTEARS-MLP,0.10518074035644531,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,1,3578
cancer,NOTEARS-MLP,0.3995230197906494,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,2,2656
cancer,NOTEARS-MLP,0.07823777198791504,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,3,2688
cancer,NOTEARS-MLP,0.4696686267852783,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,4,2494
cancer,NOTEARS-MLP,0.4878425598144531,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,5,183
cancer,NOTEARS-MLP,0.04045534133911133,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6,7977
cancer,NOTEARS-MLP,0.12209415435791016,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,7,3199
cancer,NOTEARS-MLP,0.3860509395599365,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,8,316
cancer,NOTEARS-MLP,0.13172221183776855,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,9,8266
