dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
child,NOTEARS-MLP,4.138271331787109,22,0.5,0.44,0.0667,0.5,0.44,0.4681,0.7273,0.64,0.6809,0.5,0.44,0.4681,20.0,215.0,0,7816
child,NOTEARS-MLP,4.2285315990448,20,0.7,0.24,0.0848,0.3,0.24,0.2667,0.75,0.6,0.6667,0.3,0.24,0.2667,24.0,226.0,1,3578
child,NOTEARS-MLP,3.3499674797058105,19,0.5263,0.36,0.0606,0.4737,0.36,0.4091,0.7895,0.6,0.6818,0.4737,0.36,0.4091,20.0,232.0,2,2656
child,NOTEARS-MLP,4.7069573402404785,21,0.5714,0.36,0.0727,0.4286,0.36,0.3913,0.7619,0.64,0.6957,0.4286,0.36,0.3913,21.0,218.0,3,2688
child,NOTEARS-MLP,4.4350621700286865,20,0.5,0.4,0.0606,0.5,0.4,0.4444,0.75,0.6,0.6667,0.5,0.4,0.4444,20.0,209.0,4,2494
child,NOTEARS-MLP,4.830260992050171,21,0.5238,0.4,0.0667,0.4762,0.4,0.4348,0.7619,0.64,0.6957,0.4762,0.4,0.4348,20.0,207.0,5,183
child,NOTEARS-MLP,3.868288993835449,21,0.4762,0.44,0.0606,0.5238,0.44,0.4783,0.7619,0.64,0.6957,0.5238,0.44,0.4783,19.0,200.0,6,7977
child,NOTEARS-MLP,5.038501739501953,21,0.6667,0.28,0.0848,0.3333,0.28,0.3043,0.7143,0.6,0.6522,0.3333,0.28,0.3043,24.0,252.0,7,3199
child,NOTEARS-MLP,4.2627928256988525,21,0.6667,0.28,0.0848,0.3333,0.28,0.3043,0.7619,0.64,0.6957,0.3333,0.28,0.3043,23.0,254.0,8,316
child,NOTEARS-MLP,5.081025838851929,19,0.4737,0.4,0.0545,0.5263,0.4,0.4545,0.7895,0.6,0.6818,0.5263,0.4,0.4545,19.0,191.0,9,8266
