dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
asia,NOTEARS-MLP,2.2561683654785156,6,0.8333,0.125,0.25,0.1667,0.125,0.1429,0.8333,0.625,0.7143,0.1667,0.125,0.1429,8.0,40.0,0,7816
asia,NOTEARS-MLP,2.728109836578369,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,0.8571,0.75,0.8,0.2857,0.25,0.2667,7.0,34.0,1,3578
asia,NOTEARS-MLP,1.9511792659759521,6,0.8333,0.125,0.25,0.1667,0.125,0.1429,0.8333,0.625,0.7143,0.1667,0.125,0.1429,8.0,36.0,2,2656
asia,NOTEARS-MLP,1.3451473712921143,6,0.1667,0.625,0.05,0.8333,0.625,0.7143,0.8333,0.625,0.7143,0.8333,0.625,0.7143,4.0,10.0,3,2688
asia,NOTEARS-MLP,2.474838972091675,6,1.0,0.0,0.3,0.0,0.0,,0.8333,0.625,0.7143,0.0,0.0,0.0,9.0,44.0,4,2494
asia,NOTEARS-MLP,1.51845121383667,5,0.8,0.125,0.2,0.2,0.125,0.1538,1.0,0.625,0.7692,0.2,0.125,0.1538,7.0,41.0,5,183
asia,NOTEARS-MLP,1.4277381896972656,5,1.0,0.0,0.25,0.0,0.0,,0.8,0.5,0.6154,0.0,0.0,0.0,9.0,42.0,6,7977
asia,NOTEARS-MLP,2.656628370285034,6,0.6667,0.25,0.2,0.3333,0.25,0.2857,0.8333,0.625,0.7143,0.3333,0.25,0.2857,7.0,33.0,7,3199
asia,NOTEARS-MLP,2.6832761764526367,6,0.1667,0.625,0.05,0.8333,0.625,0.7143,0.8333,0.625,0.7143,0.8333,0.625,0.7143,4.0,10.0,8,316
asia,NOTEARS-MLP,1.9350991249084473,6,0.5,0.375,0.15,0.5,0.375,0.4286,0.8333,0.625,0.7143,0.5,0.375,0.4286,6.0,25.0,9,8266
