dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
cancer,NOTEARS-MLP,69.69474577903748,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0,7816
cancer,NOTEARS-MLP,0.06055736541748047,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,1,3578
cancer,NOTEARS-MLP,0.6740851402282715,1,1.0,0.0,0.1667,0.0,0.0,,1.0,0.25,0.4,0.0,0.0,0.0,4.0,11.0,2,2656
cancer,NOTEARS-MLP,0.08252263069152832,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,3,2688
cancer,NOTEARS-MLP,0.36846160888671875,1,1.0,0.0,0.1667,0.0,0.0,,1.0,0.25,0.4,0.0,0.0,0.0,4.0,11.0,4,2494
cancer,NOTEARS-MLP,0.06639838218688965,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,5,183
cancer,NOTEARS-MLP,0.5904867649078369,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6,7977
cancer,NOTEARS-MLP,0.04602956771850586,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,7,3199
cancer,NOTEARS-MLP,0.16972827911376953,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,8,316
cancer,NOTEARS-MLP,0.10822606086730957,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,9,8266
