dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
earthquake,NOTEARS-MLP,2.3462586402893066,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,1.0,0.75,0.8571,0.3333,0.25,0.2857,3.0,11.0,0,7816
earthquake,NOTEARS-MLP,1.6019096374511719,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,5.0,1,3578
earthquake,NOTEARS-MLP,1.6877179145812988,5,1.0,0.0,0.8333,0.0,0.0,,0.8,1.0,0.8889,0.0,0.0,0.0,5.0,19.0,2,2656
earthquake,NOTEARS-MLP,2.0054516792297363,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,2688
earthquake,NOTEARS-MLP,2.2723727226257324,4,0.75,0.25,0.5,0.25,0.25,0.25,1.0,1.0,1.0,0.25,0.25,0.25,3.0,15.0,4,2494
earthquake,NOTEARS-MLP,3.183804988861084,4,0.25,0.75,0.1667,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,2.0,8.0,5,183
earthquake,NOTEARS-MLP,1.299696445465088,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,5.0,6,7977
earthquake,NOTEARS-MLP,1.503917932510376,4,0.75,0.25,0.5,0.25,0.25,0.25,1.0,1.0,1.0,0.25,0.25,0.25,3.0,15.0,7,3199
earthquake,NOTEARS-MLP,1.4884092807769775,4,0.5,0.5,0.3333,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,2.0,10.0,8,316
earthquake,NOTEARS-MLP,1.4914891719818115,4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,5.0,9,8266
