dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid,run_idx,seed
sachs,NOTEARS-MLP,2.0439372062683105,7,0.2857,0.2941,0.0526,0.7143,0.2941,0.4167,1.0,0.4118,0.5833,0.7143,0.2941,0.4167,12.0,54.0,0,7816
sachs,NOTEARS-MLP,1.5059685707092285,6,0.1667,0.2941,0.0263,0.8333,0.2941,0.4348,1.0,0.3529,0.5217,0.8333,0.2941,0.4348,12.0,43.0,1,3578
sachs,NOTEARS-MLP,0.8823699951171875,4,0.75,0.0588,0.0789,0.25,0.0588,0.0952,1.0,0.2353,0.381,0.25,0.0588,0.0952,16.0,59.0,2,2656
sachs,NOTEARS-MLP,1.3863065242767334,6,0.1667,0.2941,0.0263,0.8333,0.2941,0.4348,1.0,0.3529,0.5217,0.8333,0.2941,0.4348,12.0,54.0,3,2688
sachs,NOTEARS-MLP,1.549884557723999,6,0.1667,0.2941,0.0263,0.8333,0.2941,0.4348,1.0,0.3529,0.5217,0.8333,0.2941,0.4348,12.0,54.0,4,2494
sachs,NOTEARS-MLP,2.012141227722168,6,0.3333,0.2353,0.0526,0.6667,0.2353,0.3478,1.0,0.3529,0.5217,0.6667,0.2353,0.3478,13.0,45.0,5,183
sachs,NOTEARS-MLP,1.916642427444458,6,0.5,0.1765,0.0789,0.5,0.1765,0.2609,1.0,0.3529,0.5217,0.5,0.1765,0.2609,14.0,53.0,6,7977
sachs,NOTEARS-MLP,1.556828498840332,5,0.2,0.2353,0.0263,0.8,0.2353,0.3636,1.0,0.2941,0.4545,0.8,0.2353,0.3636,13.0,42.0,7,3199
sachs,NOTEARS-MLP,1.1058456897735596,5,0.4,0.1765,0.0526,0.6,0.1765,0.2727,1.0,0.2941,0.4545,0.6,0.1765,0.2727,14.0,44.0,8,316
sachs,NOTEARS-MLP,2.099522352218628,5,0.2,0.2353,0.0263,0.8,0.2353,0.3636,1.0,0.2941,0.4545,0.8,0.2353,0.3636,13.0,44.0,9,8266
