dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
survey,NOTEARS-MLP,0.04212474822998047,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0,0,7816
survey,NOTEARS-MLP,0.05943727493286133,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0,1,3578
survey,NOTEARS-MLP,0.04365181922912598,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0,2,2656
survey,NOTEARS-MLP,0.04219508171081543,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0,3,2688
survey,NOTEARS-MLP,0.053839921951293945,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0,4,2494
survey,NOTEARS-MLP,0.08812808990478516,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0,5,183
survey,NOTEARS-MLP,0.04247426986694336,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0,6,7977
survey,NOTEARS-MLP,0.32340168952941895,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0,7,3199
survey,NOTEARS-MLP,0.027051210403442383,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0,8,316
survey,NOTEARS-MLP,0.09998130798339844,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,17.0,9,8266
