dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
asia,Random,0.000215,19,0.7895,0.5,0.75,0.1053,0.25,0.1481,0.2632,0.625,0.3704,0.0526,0.25,0.087,21.0,15.0,32.0,0,7816
asia,Random,0.00024,14,0.9286,0.125,0.65,0.0714,0.125,0.0909,0.2857,0.5,0.3636,0.0714,0.125,0.0909,17.0,29.0,29.0,1,3578
asia,Random,0.000228,17,0.8235,0.375,0.7,0.1765,0.375,0.24,0.4118,0.875,0.56,0.1765,0.375,0.24,15.0,27.0,27.0,2,2656
asia,Random,0.000249,17,0.7059,0.625,0.6,0.2941,0.625,0.4,0.4118,0.875,0.56,0.1176,0.5,0.1905,15.0,19.0,34.0,3,2688
asia,Random,0.000248,18,0.8889,0.25,0.8,0.1111,0.25,0.1538,0.2222,0.5,0.3077,0.0,0.0,0.0,21.0,36.0,46.0,4,2494
asia,Random,0.000227,14,0.7143,0.5,0.5,0.2143,0.375,0.2727,0.3571,0.625,0.4545,0.0714,0.25,0.1111,14.0,12.0,39.0,5,183
asia,Random,0.000245,14,0.8571,0.25,0.6,0.1429,0.25,0.1818,0.2143,0.375,0.2727,0.0714,0.25,0.1111,17.0,14.0,37.0,6,7977
asia,Random,0.000235,15,0.8667,0.25,0.65,0.1333,0.25,0.1739,0.2,0.375,0.2609,0.0,0.0,0.0,20.0,14.0,40.0,7,3199
asia,Random,0.000225,8,0.625,0.375,0.25,0.375,0.375,0.375,0.375,0.375,0.375,0.25,0.5,0.3333,11.0,22.0,30.0,8,316
asia,Random,0.000246,15,0.9333,0.125,0.7,0.0667,0.125,0.087,0.3333,0.625,0.4348,0.0,0.0,0.0,18.0,33.0,45.0,9,8266
