dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,adjacency_precision,adjacency_recall,adjacency_F1,arrowhead_precision,arrowhead_recall,arrowhead_F1,shd,sid_low,sid_high,run_idx,seed
sachs,Random,0.000215,29,0.7931,0.3529,0.6053,0.1379,0.2353,0.1739,0.2414,0.4118,0.3043,0.0,0.0,0.0,36.0,40.0,47.0,0,7816
sachs,Random,0.000223,24,0.8333,0.2353,0.5263,0.0833,0.1176,0.0976,0.2917,0.4118,0.3415,0.0,0.0,0.0,32.0,42.0,51.0,1,3578
sachs,Random,0.000223,29,0.7586,0.4118,0.5789,0.1724,0.2941,0.2174,0.3448,0.5882,0.4348,0.0,0.0,0.0,34.0,46.0,51.0,2,2656
sachs,Random,0.000228,32,0.8438,0.2941,0.7105,0.1562,0.2941,0.2041,0.375,0.7059,0.4898,0.0,0.0,0.0,37.0,48.0,48.0,3,2688
sachs,Random,0.000225,25,0.8,0.2941,0.5263,0.08,0.1176,0.0952,0.2,0.2941,0.2381,0.0,0.0,0.0,34.0,38.0,55.0,4,2494
sachs,Random,0.000218,25,0.84,0.2353,0.5526,0.08,0.1176,0.0952,0.28,0.4118,0.3333,0.0,0.0,0.0,33.0,47.0,54.0,5,183
sachs,Random,0.000217,25,0.76,0.3529,0.5,0.12,0.1765,0.1429,0.32,0.4706,0.381,0.0,0.0,0.0,31.0,41.0,55.0,6,7977
sachs,Random,0.000211,28,0.8571,0.2353,0.6316,0.0357,0.0588,0.0444,0.3571,0.5882,0.4444,0.0,0.0,0.0,31.0,49.0,54.0,7,3199
sachs,Random,0.00021,26,0.7692,0.3529,0.5263,0.2308,0.3529,0.2791,0.3077,0.4706,0.3721,0.0,0.0,0.0,35.0,48.0,48.0,8,316
sachs,Random,0.000213,28,0.7857,0.3529,0.5789,0.2143,0.3529,0.2667,0.3571,0.5882,0.4444,0.0,0.0,0.0,35.0,41.0,44.0,9,8266
