dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_10_edges_degrees_ER,MPC,0.00943303108215332,7,0.0,0.7,0.0,0.5714,0.4,0.4706,4.0,20.0,34.0,0,7816
dag_10_nodes_10_edges_degrees_ER,MPC,0.009949684143066406,8,0.0,0.8,0.0,0.5,0.4,0.4444,5.0,18.0,39.0,1,3578
dag_10_nodes_10_edges_degrees_ER,MPC,0.0068471431732177734,5,0.0,0.5,0.0,0.6,0.3,0.4,7.0,18.0,36.0,2,2656
dag_10_nodes_10_edges_degrees_ER,MPC,0.016141176223754883,10,0.2,0.8,0.0571,0.5,0.5,0.5,7.0,9.0,46.0,3,2688
dag_10_nodes_10_edges_degrees_ER,MPC,0.012899637222290039,9,0.1111,0.8,0.0286,0.5556,0.5,0.5263,6.0,8.0,45.0,4,2494
dag_10_nodes_10_edges_degrees_ER,MPC,0.012375116348266602,9,0.0,0.9,0.0,0.5556,0.5,0.5263,4.0,13.0,34.0,5,183
dag_10_nodes_10_edges_degrees_ER,MPC,0.016427278518676758,9,0.1111,0.8,0.0286,0.5556,0.5,0.5263,7.0,10.0,45.0,6,7977
dag_10_nodes_10_edges_degrees_ER,MPC,0.01661539077758789,8,0.125,0.7,0.0286,0.375,0.3,0.3333,6.0,16.0,31.0,7,3199
dag_10_nodes_10_edges_degrees_ER,MPC,0.011784076690673828,9,0.0,0.9,0.0,0.5556,0.5,0.5263,4.0,13.0,34.0,8,316
dag_10_nodes_10_edges_degrees_ER,MPC,0.008586406707763672,7,0.0,0.7,0.0,0.5714,0.4,0.4706,5.0,25.0,39.0,9,8266
dag_10_nodes_10_edges_degrees_ER,MPC,0.007945537567138672,6,0.0,0.6,0.0,0.5,0.3,0.375,6.0,20.0,37.0,10,1532
dag_10_nodes_10_edges_degrees_ER,MPC,0.011254549026489258,8,0.25,0.6,0.0571,0.5,0.4,0.4444,8.0,13.0,45.0,11,1009
dag_10_nodes_10_edges_degrees_ER,MPC,0.008122444152832031,7,0.0,0.7,0.0,0.5714,0.4,0.4706,6.0,23.0,37.0,12,2250
dag_10_nodes_10_edges_degrees_ER,MPC,0.01105356216430664,7,0.1429,0.6,0.0286,0.5714,0.4,0.4706,7.0,16.0,33.0,13,4447
dag_10_nodes_10_edges_degrees_ER,MPC,0.013688802719116211,8,0.125,0.7,0.0286,0.5,0.4,0.4444,7.0,19.0,37.0,14,2415
dag_10_nodes_10_edges_degrees_ER,MPC,0.011934518814086914,7,0.1429,0.6,0.0286,0.5714,0.4,0.4706,7.0,20.0,31.0,15,3595
dag_10_nodes_10_edges_degrees_ER,MPC,0.010802984237670898,9,0.0,0.9,0.0,0.5556,0.5,0.5263,4.0,13.0,34.0,16,4187
dag_10_nodes_10_edges_degrees_ER,MPC,0.010925531387329102,8,0.125,0.7,0.0286,0.5,0.4,0.4444,8.0,12.0,44.0,17,4135
dag_10_nodes_10_edges_degrees_ER,MPC,0.01107645034790039,8,0.125,0.7,0.0286,0.375,0.3,0.3333,6.0,15.0,32.0,18,5174
dag_10_nodes_10_edges_degrees_ER,MPC,0.012380123138427734,5,0.0,0.5,0.0,0.6,0.3,0.4,8.0,26.0,34.0,19,5303
dag_10_nodes_10_edges_degrees_ER,MPC,0.011715888977050781,7,0.1429,0.6,0.0286,0.4286,0.3,0.3529,7.0,24.0,36.0,20,3942
dag_10_nodes_10_edges_degrees_ER,MPC,0.010779619216918945,8,0.0,0.8,0.0,0.5,0.4,0.4444,4.0,14.0,34.0,21,2778
dag_10_nodes_10_edges_degrees_ER,MPC,0.010526657104492188,6,0.1667,0.5,0.0286,0.5,0.3,0.375,8.0,22.0,41.0,22,2804
dag_10_nodes_10_edges_degrees_ER,MPC,0.01117849349975586,7,0.0,0.7,0.0,0.5714,0.4,0.4706,6.0,16.0,31.0,23,2145
dag_10_nodes_10_edges_degrees_ER,MPC,0.016887664794921875,8,0.0,0.8,0.0,0.625,0.5,0.5556,5.0,12.0,29.0,24,150
dag_10_nodes_10_edges_degrees_ER,MPC,0.008966922760009766,7,0.0,0.7,0.0,0.5714,0.4,0.4706,5.0,25.0,39.0,25,8823
dag_10_nodes_10_edges_degrees_ER,MPC,0.02289581298828125,9,0.1111,0.8,0.0286,0.6667,0.6,0.6316,7.0,2.0,44.0,26,4669
dag_10_nodes_10_edges_degrees_ER,MPC,0.009665489196777344,8,0.125,0.7,0.0286,0.5,0.4,0.4444,7.0,13.0,44.0,27,6131
dag_10_nodes_10_edges_degrees_ER,MPC,0.014691352844238281,8,0.0,0.8,0.0,0.625,0.5,0.5556,6.0,3.0,43.0,28,2617
dag_10_nodes_10_edges_degrees_ER,MPC,0.01801323890686035,8,0.0,0.8,0.0,0.625,0.5,0.5556,6.0,6.0,43.0,29,7166
dag_10_nodes_10_edges_degrees_ER,MPC,0.011936426162719727,8,0.0,0.8,0.0,0.75,0.6,0.6667,5.0,4.0,44.0,30,1428
dag_10_nodes_10_edges_degrees_ER,MPC,0.016743898391723633,8,0.125,0.7,0.0286,0.5,0.4,0.4444,7.0,9.0,45.0,31,8328
dag_10_nodes_10_edges_degrees_ER,MPC,0.009007930755615234,6,0.0,0.6,0.0,0.6667,0.4,0.5,6.0,17.0,27.0,32,8289
dag_10_nodes_10_edges_degrees_ER,MPC,0.010670900344848633,7,0.0,0.7,0.0,0.5714,0.4,0.4706,5.0,12.0,34.0,33,5978
dag_10_nodes_10_edges_degrees_ER,MPC,0.011462211608886719,6,0.0,0.6,0.0,0.5,0.3,0.375,6.0,15.0,39.0,34,5511
dag_10_nodes_10_edges_degrees_ER,MPC,0.009692907333374023,6,0.3333,0.4,0.0571,0.3333,0.2,0.25,9.0,17.0,39.0,35,5864
dag_10_nodes_10_edges_degrees_ER,MPC,0.008034467697143555,6,0.1667,0.5,0.0286,0.6667,0.4,0.5,8.0,22.0,31.0,36,606
dag_10_nodes_10_edges_degrees_ER,MPC,0.01672649383544922,8,0.0,0.8,0.0,0.5,0.4,0.4444,5.0,15.0,33.0,37,1933
dag_10_nodes_10_edges_degrees_ER,MPC,0.011416435241699219,8,0.0,0.8,0.0,0.625,0.5,0.5556,5.0,14.0,32.0,38,6071
dag_10_nodes_10_edges_degrees_ER,MPC,0.007584095001220703,6,0.1667,0.5,0.0286,0.5,0.3,0.375,9.0,27.0,41.0,39,5504
dag_10_nodes_10_edges_degrees_ER,MPC,0.015881776809692383,8,0.25,0.6,0.0571,0.5,0.4,0.4444,8.0,16.0,33.0,40,5163
dag_10_nodes_10_edges_degrees_ER,MPC,0.018613338470458984,8,0.0,0.8,0.0,0.625,0.5,0.5556,5.0,14.0,32.0,41,2406
dag_10_nodes_10_edges_degrees_ER,MPC,0.009984970092773438,7,0.1429,0.6,0.0286,0.5714,0.4,0.4706,9.0,12.0,44.0,42,304
dag_10_nodes_10_edges_degrees_ER,MPC,0.014627933502197266,10,0.0,1.0,0.0,0.6,0.6,0.6,4.0,0.0,46.0,43,3391
dag_10_nodes_10_edges_degrees_ER,MPC,0.026668787002563477,10,0.1,0.9,0.0286,0.6,0.6,0.6,6.0,1.0,44.0,44,359
dag_10_nodes_10_edges_degrees_ER,MPC,0.009160518646240234,6,0.0,0.6,0.0,0.5,0.3,0.375,7.0,25.0,38.0,45,9096
dag_10_nodes_10_edges_degrees_ER,MPC,0.009391307830810547,8,0.0,0.8,0.0,0.625,0.5,0.5556,5.0,8.0,45.0,46,3533
dag_10_nodes_10_edges_degrees_ER,MPC,0.006919145584106445,5,0.0,0.5,0.0,0.6,0.3,0.4,6.0,19.0,33.0,47,4125
dag_10_nodes_10_edges_degrees_ER,MPC,0.006061553955078125,4,0.0,0.4,0.0,0.0,0.0,,7.0,22.0,39.0,48,3094
dag_10_nodes_10_edges_degrees_ER,MPC,0.015208005905151367,7,0.0,0.7,0.0,0.7143,0.5,0.5882,6.0,17.0,28.0,49,6398
