dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_10_edges_degrees_SF,FGS,0.6642208099365234,3,0.6667,0.1111,0.0556,0.3333,0.1111,0.1667,10.0,13.0,0,7816
dag_10_nodes_10_edges_degrees_SF,FGS,0.10172009468078613,5,0.8,0.1111,0.1111,0.2,0.1111,0.1429,12.0,13.0,1,3578
dag_10_nodes_10_edges_degrees_SF,FGS,0.0942997932434082,3,0.6667,0.1111,0.0556,0.3333,0.1111,0.1667,10.0,13.0,2,2656
dag_10_nodes_10_edges_degrees_SF,FGS,0.08675098419189453,3,1.0,0.0,0.0833,0.0,0.0,,11.0,22.0,3,2688
dag_10_nodes_10_edges_degrees_SF,FGS,0.11838722229003906,4,0.75,0.1111,0.0833,0.25,0.1111,0.1538,11.0,13.0,4,2494
dag_10_nodes_10_edges_degrees_SF,FGS,0.0888986587524414,7,1.0,0.0,0.1944,0.0,0.0,,15.0,20.0,5,183
dag_10_nodes_10_edges_degrees_SF,FGS,0.08399319648742676,4,1.0,0.0,0.1111,0.0,0.0,,12.0,22.0,6,7977
dag_10_nodes_10_edges_degrees_SF,FGS,0.08716940879821777,5,1.0,0.0,0.1389,0.0,0.0,,12.0,24.0,7,3199
dag_10_nodes_10_edges_degrees_SF,FGS,0.0800628662109375,3,1.0,0.0,0.0833,0.0,0.0,,12.0,22.0,8,316
dag_10_nodes_10_edges_degrees_SF,FGS,0.09056234359741211,4,1.0,0.0,0.1111,0.0,0.0,,12.0,22.0,9,8266
dag_10_nodes_10_edges_degrees_SF,FGS,0.08364748954772949,3,0.6667,0.1111,0.0556,0.3333,0.1111,0.1667,10.0,13.0,10,1532
dag_10_nodes_10_edges_degrees_SF,FGS,0.08693456649780273,5,1.0,0.0,0.1389,0.0,0.0,,14.0,22.0,11,1009
dag_10_nodes_10_edges_degrees_SF,FGS,0.08000731468200684,3,1.0,0.0,0.0833,0.0,0.0,,11.0,22.0,12,2250
dag_10_nodes_10_edges_degrees_SF,FGS,0.07819008827209473,2,1.0,0.0,0.0556,0.0,0.0,,11.0,14.0,13,4447
dag_10_nodes_10_edges_degrees_SF,FGS,0.08401966094970703,6,0.8333,0.1111,0.1389,0.1667,0.1111,0.1333,12.0,15.0,14,2415
dag_10_nodes_10_edges_degrees_SF,FGS,0.08582305908203125,6,1.0,0.0,0.1667,0.0,0.0,,14.0,22.0,15,3595
dag_10_nodes_10_edges_degrees_SF,FGS,0.08436775207519531,6,0.8333,0.1111,0.1389,0.1667,0.1111,0.1333,13.0,13.0,16,4187
dag_10_nodes_10_edges_degrees_SF,FGS,0.1001276969909668,2,1.0,0.0,0.0556,0.0,0.0,,11.0,14.0,17,4135
dag_10_nodes_10_edges_degrees_SF,FGS,0.08146262168884277,2,1.0,0.0,0.0556,0.0,0.0,,11.0,14.0,18,5174
dag_10_nodes_10_edges_degrees_SF,FGS,0.08699750900268555,4,1.0,0.0,0.1111,0.0,0.0,,12.0,24.0,19,5303
dag_10_nodes_10_edges_degrees_SF,FGS,0.09053874015808105,6,0.8333,0.1111,0.1389,0.1667,0.1111,0.1333,13.0,13.0,20,3942
dag_10_nodes_10_edges_degrees_SF,FGS,0.08252787590026855,3,1.0,0.0,0.0833,0.0,0.0,,11.0,22.0,21,2778
dag_10_nodes_10_edges_degrees_SF,FGS,0.08883523941040039,6,0.8333,0.1111,0.1389,0.1667,0.1111,0.1333,13.0,13.0,22,2804
dag_10_nodes_10_edges_degrees_SF,FGS,0.09071040153503418,6,0.8333,0.1111,0.1389,0.1667,0.1111,0.1333,13.0,13.0,23,2145
dag_10_nodes_10_edges_degrees_SF,FGS,0.08607363700866699,3,0.6667,0.1111,0.0556,0.3333,0.1111,0.1667,10.0,13.0,24,150
dag_10_nodes_10_edges_degrees_SF,FGS,0.08805489540100098,5,0.8,0.1111,0.1111,0.2,0.1111,0.1429,12.0,13.0,25,8823
dag_10_nodes_10_edges_degrees_SF,FGS,0.08425283432006836,3,1.0,0.0,0.0833,0.0,0.0,,11.0,22.0,26,4669
dag_10_nodes_10_edges_degrees_SF,FGS,0.08840203285217285,6,1.0,0.0,0.1667,0.0,0.0,,15.0,21.0,27,6131
dag_10_nodes_10_edges_degrees_SF,FGS,0.07924246788024902,3,1.0,0.0,0.0833,0.0,0.0,,11.0,22.0,28,2617
dag_10_nodes_10_edges_degrees_SF,FGS,0.08255696296691895,6,1.0,0.0,0.1667,0.0,0.0,,15.0,21.0,29,7166
dag_10_nodes_10_edges_degrees_SF,FGS,0.07859444618225098,3,1.0,0.0,0.0833,0.0,0.0,,12.0,14.0,30,1428
