dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,5.589123725891113,0,0.0,0.0,0.0,,0.0,,9.0,14.0,0,7816
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.15822863578796387,0,0.0,0.0,0.0,,0.0,,9.0,14.0,1,3578
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.2444169521331787,0,0.0,0.0,0.0,,0.0,,9.0,14.0,2,2656
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.219404935836792,0,0.0,0.0,0.0,,0.0,,9.0,14.0,3,2688
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.12766575813293457,0,0.0,0.0,0.0,,0.0,,9.0,14.0,4,2494
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.2901275157928467,0,0.0,0.0,0.0,,0.0,,9.0,14.0,5,183
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.32178783416748047,0,0.0,0.0,0.0,,0.0,,9.0,14.0,6,7977
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.2615187168121338,0,0.0,0.0,0.0,,0.0,,9.0,14.0,7,3199
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.09706544876098633,0,0.0,0.0,0.0,,0.0,,9.0,14.0,8,316
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.29624104499816895,0,0.0,0.0,0.0,,0.0,,9.0,14.0,9,8266
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.19272518157958984,0,0.0,0.0,0.0,,0.0,,9.0,14.0,10,1532
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.15303301811218262,0,0.0,0.0,0.0,,0.0,,9.0,14.0,11,1009
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.3728630542755127,0,0.0,0.0,0.0,,0.0,,9.0,14.0,12,2250
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.1905224323272705,0,0.0,0.0,0.0,,0.0,,9.0,14.0,13,4447
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.1658935546875,0,0.0,0.0,0.0,,0.0,,9.0,14.0,14,2415
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.12871670722961426,0,0.0,0.0,0.0,,0.0,,9.0,14.0,15,3595
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.41038084030151367,0,0.0,0.0,0.0,,0.0,,9.0,14.0,16,4187
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.10480403900146484,0,0.0,0.0,0.0,,0.0,,9.0,14.0,17,4135
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.15421342849731445,0,0.0,0.0,0.0,,0.0,,9.0,14.0,18,5174
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.2968745231628418,0,0.0,0.0,0.0,,0.0,,9.0,14.0,19,5303
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.22426462173461914,0,0.0,0.0,0.0,,0.0,,9.0,14.0,20,3942
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.32895469665527344,1,0.0,0.1111,0.0,1.0,0.1111,0.2,8.0,13.0,21,2778
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.24212265014648438,0,0.0,0.0,0.0,,0.0,,9.0,14.0,22,2804
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.3618485927581787,0,0.0,0.0,0.0,,0.0,,9.0,14.0,23,2145
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.3911728858947754,0,0.0,0.0,0.0,,0.0,,9.0,14.0,24,150
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.15683674812316895,0,0.0,0.0,0.0,,0.0,,9.0,14.0,25,8823
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.3402397632598877,0,0.0,0.0,0.0,,0.0,,9.0,14.0,26,4669
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.21929621696472168,0,0.0,0.0,0.0,,0.0,,9.0,14.0,27,6131
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.24485349655151367,0,0.0,0.0,0.0,,0.0,,9.0,14.0,28,2617
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.14457464218139648,0,0.0,0.0,0.0,,0.0,,9.0,14.0,29,7166
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.41058945655822754,1,0.0,0.1111,0.0,1.0,0.1111,0.2,8.0,13.0,30,1428
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.47278785705566406,0,0.0,0.0,0.0,,0.0,,9.0,14.0,31,8328
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.5955431461334229,1,0.0,0.1111,0.0,1.0,0.1111,0.2,8.0,13.0,32,8289
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.3300011157989502,0,0.0,0.0,0.0,,0.0,,9.0,14.0,33,5978
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.21860194206237793,0,0.0,0.0,0.0,,0.0,,9.0,14.0,34,5511
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.22437334060668945,0,0.0,0.0,0.0,,0.0,,9.0,14.0,35,5864
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.15598797798156738,0,0.0,0.0,0.0,,0.0,,9.0,14.0,36,606
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.4167797565460205,1,0.0,0.1111,0.0,1.0,0.1111,0.2,8.0,13.0,37,1933
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.24589037895202637,0,0.0,0.0,0.0,,0.0,,9.0,14.0,38,6071
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.4037203788757324,1,0.0,0.1111,0.0,1.0,0.1111,0.2,8.0,13.0,39,5504
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.40277791023254395,0,0.0,0.0,0.0,,0.0,,9.0,14.0,40,5163
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.08836889266967773,0,0.0,0.0,0.0,,0.0,,9.0,14.0,41,2406
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.3601665496826172,0,0.0,0.0,0.0,,0.0,,9.0,14.0,42,304
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.41696643829345703,0,0.0,0.0,0.0,,0.0,,9.0,14.0,43,3391
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.2810530662536621,0,0.0,0.0,0.0,,0.0,,9.0,14.0,44,359
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.19622159004211426,0,0.0,0.0,0.0,,0.0,,9.0,14.0,45,9096
dag_10_nodes_10_edges_degrees_SF,NOTEARS-MLP,0.16231012344360352,0,0.0,0.0,0.0,,0.0,,9.0,14.0,46,3533
